Lower layer Super Output Areas Code,Sex (2 categories),Observation
E01000506,Male,802
E01000507,Female,819
E01000507,Male,798
E01000508,Female,1431
E01000508,Male,1185
E01000509,Female,675
E01000509,Male,763
E01000510,Female,848
E01000510,Male,824
E01000511,Female,906
E01000511,Male,864
E01000512,Female,827
E01000512,Male,876
E01000513,Female,808
E01000513,Male,870
E01000514,Female,766
E01000514,Male,804
E01000515,Female,955
E01000515,Male,920
E01000516,Female,1157
E01000516,Male,1188
E01000517,Female,818
E01000517,Male,805
E01000518,Female,965
E01000518,Male,950
E01000519,Female,1018
E01000519,Male,995
E01000520,Female,848
E01000520,Male,829
E01000521,Female,1219
E01000521,Male,1056
E01000522,Female,1105
E01000522,Male,943
E01000523,Female,1182
E01000523,Male,1115
E01000524,Female,1279
E01000524,Male,1144
E01000525,Female,981
E01000525,Male,870
E01000526,Female,1204
E01000526,Male,993
E01000527,Female,991
E01000527,Male,884
E01000528,Female,922
E01000528,Male,803
E01000530,Female,965
E01000530,Male,855
E01000531,Female,958
E01000531,Male,839
E01000532,Female,826
E01000532,Male,683
E01000533,Female,1141
E01000533,Male,1031
E01000534,Female,895
E01000534,Male,853
E01000535,Female,1104
E01000535,Male,949
E01000536,Female,796
E01000536,Male,766
E01000538,Female,827
E01000538,Male,795
E01000539,Female,785
E01000539,Male,796
E01000540,Female,748
E01000540,Male,708
E01000541,Female,711
E01000541,Male,700
E01000543,Female,812
E01000543,Male,813
E01000544,Female,868
E01000544,Male,900
E01000545,Female,1009
E01000545,Male,913
E01000546,Female,867
E01000546,Male,776
E01000547,Female,841
E01000547,Male,815
E01000548,Female,1051
E01000548,Male,933
E01000549,Female,970
E01000549,Male,843
E01000550,Female,1060
E01000550,Male,961
E01000551,Female,1527
E01000551,Male,1367
E01000552,Female,788
E01000552,Male,722
E01000553,Female,1029
E01000553,Male,1011
E01000554,Female,1012
E01000554,Male,958
E01000555,Female,797
E01000555,Male,789
E01000556,Female,1109
E01000556,Male,980
E01000557,Female,885
E01000557,Male,979
E01000558,Female,732
E01000558,Male,657
E01000559,Female,705
E01000559,Male,676
E01000560,Female,843
E01000560,Male,718
E01000561,Female,954
E01000561,Male,983
E01000562,Female,787
E01000562,Male,719
E01000563,Female,806
E01000563,Male,782
E01000564,Female,800
E01000564,Male,824
E01000565,Female,792
E01000565,Male,744
E01000566,Female,759
E01000566,Male,791
E01000567,Female,722
E01000567,Male,678
E01000568,Female,1220
E01000568,Male,998
E01000569,Female,731
E01000569,Male,725
E01000570,Female,758
E01000570,Male,788
E01000571,Female,876
E01000571,Male,885
E01000572,Female,757
E01000572,Male,738
E01000573,Female,823
E01000573,Male,848
E01000574,Female,757
E01000574,Male,898
E01000575,Female,984
E01000575,Male,1170
E01000576,Female,926
E01000576,Male,948
E01000577,Female,1349
E01000577,Male,1236
E01000578,Female,1158
E01000578,Male,1166
E01000579,Female,867
E01000579,Male,720
E01000580,Female,1107
E01000580,Male,979
E01000581,Female,814
E01000581,Male,699
E01000582,Female,1001
E01000582,Male,850
E01000583,Female,1131
E01000583,Male,919
E01000584,Female,810
E01000584,Male,750
E01000585,Female,814
E01000585,Male,690
E01000586,Female,1225
E01000586,Male,1155
E01000587,Female,779
E01000587,Male,846
E01000589,Female,1236
E01000589,Male,1313
E01000590,Female,1002
E01000590,Male,934
E01000591,Female,1027
E01000591,Male,1156
E01000592,Female,937
E01000592,Male,894
E01000593,Female,1071
E01000593,Male,1050
E01000594,Female,869
E01000594,Male,946
E01000595,Female,1012
E01000595,Male,773
E01000596,Female,961
E01000596,Male,887
E01000599,Female,1008
E01000599,Male,881
E01000601,Female,743
E01000601,Male,643
E01000602,Female,748
E01000602,Male,705
E01000603,Female,784
E01000603,Male,662
E01000604,Female,940
E01000604,Male,796
E01000605,Female,901
E01000605,Male,861
E01000606,Female,937
E01000606,Male,935
E01000607,Female,1212
E01000607,Male,1381
E01000608,Female,1178
E01000608,Male,1161
E01000609,Female,1019
E01000609,Male,1040
E01000610,Female,1082
E01000610,Male,1104
E01000611,Female,966
E01000611,Male,962
E01000612,Female,870
E01000612,Male,896
E01000613,Female,890
E01000613,Male,865
E01000615,Female,1527
E01000615,Male,1664
E01000616,Female,947
E01000616,Male,991
E01000617,Female,1096
E01000617,Male,1171
E01000618,Female,845
E01000618,Male,832
E01000619,Female,862
E01000619,Male,834
E01000620,Female,891
E01000620,Male,859
E01000621,Female,886
E01000621,Male,925
E01000622,Female,980
E01000622,Male,1000
E01000623,Female,939
E01000623,Male,943
E01000624,Female,885
E01000624,Male,860
E01000625,Female,848
E01000625,Male,824
E01000626,Female,838
E01000626,Male,709
E01000627,Female,1051
E01000627,Male,997
E01000628,Female,827
E01000628,Male,941
E01000629,Female,969
E01000629,Male,1008
E01000630,Female,1375
E01000630,Male,1353
E01000631,Female,1019
E01000631,Male,1054
E01000632,Female,1219
E01000632,Male,1261
E01000633,Female,1262
E01000633,Male,1354
E01000634,Female,1266
E01000634,Male,1377
E01000636,Female,1296
E01000636,Male,1304
E01000637,Female,767
E01000637,Male,741
E01000638,Female,1106
E01000638,Male,1035
E01000639,Female,876
E01000639,Male,839
E01000640,Female,1157
E01000640,Male,1058
E01000641,Female,1026
E01000641,Male,925
E01000642,Female,1095
E01000642,Male,1119
E01000643,Female,1230
E01000643,Male,1012
E01000644,Female,949
E01000644,Male,963
E01000645,Female,742
E01000645,Male,708
E01000646,Female,979
E01000646,Male,849
E01000647,Female,898
E01000647,Male,812
E01000648,Female,1006
E01000648,Male,884
E01000649,Female,1090
E01000649,Male,978
E01000650,Female,923
E01000650,Male,882
E01000651,Female,925
E01000651,Male,756
E01000652,Female,900
E01000652,Male,812
E01000653,Female,807
E01000653,Male,735
E01000654,Female,671
E01000654,Male,628
E01000655,Female,689
E01000655,Male,639
E01000656,Female,773
E01000656,Male,735
E01000657,Female,828
E01000657,Male,745
E01000658,Female,693
E01000658,Male,637
E01000659,Female,706
E01000659,Male,758
E01000661,Female,1508
E01000661,Male,1309
E01000662,Female,920
E01000662,Male,883
E01000663,Female,878
E01000663,Male,803
E01000664,Female,844
E01000664,Male,819
E01000665,Female,959
E01000665,Male,900
E01000666,Female,975
E01000666,Male,917
E01000667,Female,844
E01000667,Male,816
E01000668,Female,1162
E01000668,Male,1060
E01000669,Female,912
E01000669,Male,824
E01000670,Female,981
E01000670,Male,960
E01000671,Female,1182
E01000671,Male,1089
E01000672,Female,902
E01000672,Male,772
E01000673,Female,854
E01000673,Male,816
E01000674,Female,868
E01000674,Male,848
E01000676,Female,1029
E01000676,Male,1004
E01000677,Female,987
E01000677,Male,915
E01000678,Female,949
E01000678,Male,901
E01000679,Female,924
E01000679,Male,868
E01000680,Female,843
E01000680,Male,799
E01000681,Female,902
E01000681,Male,853
E01000682,Female,825
E01000682,Male,780
E01000683,Female,889
E01000683,Male,816
E01000684,Female,1048
E01000684,Male,1044
E01000685,Female,852
E01000685,Male,775
E01000686,Female,761
E01000686,Male,733
E01000687,Female,811
E01000687,Male,754
E01000688,Female,706
E01000688,Male,682
E01000689,Female,784
E01000689,Male,852
E01000690,Female,708
E01000690,Male,683
E01000691,Female,807
E01000691,Male,728
E01000692,Female,867
E01000692,Male,803
E01000693,Female,821
E01000693,Male,690
E01000694,Female,1200
E01000694,Male,1098
E01000695,Female,783
E01000695,Male,735
E01000696,Female,850
E01000696,Male,785
E01000697,Female,929
E01000697,Male,855
E01000698,Female,604
E01000698,Male,589
E01000699,Female,767
E01000699,Male,684
E01000700,Female,803
E01000700,Male,716
E01000701,Female,746
E01000701,Male,694
E01000702,Female,734
E01000702,Male,700
E01000703,Female,899
E01000703,Male,832
E01000704,Female,800
E01000704,Male,670
E01000705,Female,710
E01000705,Male,647
E01000706,Female,719
E01000706,Male,656
E01000707,Female,766
E01000707,Male,743
E01000708,Female,898
E01000708,Male,792
E01000709,Female,698
E01000709,Male,672
E01000710,Female,1222
