Lower layer Super Output Areas Code,Migrant indicator (5 categories),Observation
E01000046,Address one year ago is the same as the address of enumeration,1756
E01000046,Address one year ago is student term-time or boarding school address in the UK,3
E01000046,Migrant from within the UK: Address one year ago was in the UK,155
E01000046,Migrant from outside the UK: Address one year ago was outside the UK,14
E01000049,Does not apply,26
E01000049,Address one year ago is the same as the address of enumeration,1827
E01000049,Address one year ago is student term-time or boarding school address in the UK,8
E01000049,Migrant from within the UK: Address one year ago was in the UK,87
E01000049,Migrant from outside the UK: Address one year ago was outside the UK,25
E01000050,Does not apply,33
E01000050,Address one year ago is the same as the address of enumeration,1656
E01000050,Address one year ago is student term-time or boarding school address in the UK,3
E01000050,Migrant from within the UK: Address one year ago was in the UK,127
E01000050,Migrant from outside the UK: Address one year ago was outside the UK,20
E01000051,Does not apply,29
E01000051,Address one year ago is the same as the address of enumeration,1000
E01000051,Address one year ago is student term-time or boarding school address in the UK,0
E01000051,Migrant from within the UK: Address one year ago was in the UK,69
E01000051,Migrant from outside the UK: Address one year ago was outside the UK,8
E01000052,Does not apply,51
E01000052,Address one year ago is the same as the address of enumeration,2103
E01000052,Address one year ago is student term-time or boarding school address in the UK,3
E01000052,Migrant from within the UK: Address one year ago was in the UK,176
E01000052,Migrant from outside the UK: Address one year ago was outside the UK,35
E01000053,Does not apply,28
E01000053,Address one year ago is the same as the address of enumeration,1464
E01000053,Address one year ago is student term-time or boarding school address in the UK,1
E01000053,Migrant from within the UK: Address one year ago was in the UK,104
E01000053,Migrant from outside the UK: Address one year ago was outside the UK,19
E01000054,Does not apply,27
E01000054,Address one year ago is the same as the address of enumeration,1721
E01000054,Address one year ago is student term-time or boarding school address in the UK,0
E01000054,Migrant from within the UK: Address one year ago was in the UK,102
E01000054,Migrant from outside the UK: Address one year ago was outside the UK,19
E01000055,Does not apply,18
E01000055,Address one year ago is the same as the address of enumeration,1548
E01000055,Address one year ago is student term-time or boarding school address in the UK,1
E01000055,Migrant from within the UK: Address one year ago was in the UK,123
E01000055,Migrant from outside the UK: Address one year ago was outside the UK,18
E01000056,Does not apply,20
E01000056,Address one year ago is the same as the address of enumeration,1556
E01000056,Address one year ago is student term-time or boarding school address in the UK,3
E01000056,Migrant from within the UK: Address one year ago was in the UK,111
E01000056,Migrant from outside the UK: Address one year ago was outside the UK,11
E01000057,Does not apply,16
E01000057,Address one year ago is the same as the address of enumeration,1390
E01000057,Address one year ago is student term-time or boarding school address in the UK,2
E01000057,Migrant from within the UK: Address one year ago was in the UK,125
E01000057,Migrant from outside the UK: Address one year ago was outside the UK,15
E01000058,Does not apply,24
E01000058,Address one year ago is the same as the address of enumeration,1978
E01000058,Address one year ago is student term-time or boarding school address in the UK,4
E01000058,Migrant from within the UK: Address one year ago was in the UK,114
E01000058,Migrant from outside the UK: Address one year ago was outside the UK,13
E01000059,Does not apply,18
E01000059,Address one year ago is the same as the address of enumeration,1566
E01000059,Address one year ago is student term-time or boarding school address in the UK,2
E01000059,Migrant from within the UK: Address one year ago was in the UK,113
E01000059,Migrant from outside the UK: Address one year ago was outside the UK,13
E01000060,Does not apply,31
E01000060,Address one year ago is the same as the address of enumeration,1974
E01000060,Address one year ago is student term-time or boarding school address in the UK,3
E01000060,Migrant from within the UK: Address one year ago was in the UK,162
E01000060,Migrant from outside the UK: Address one year ago was outside the UK,9
E01000061,Does not apply,37
E01000061,Address one year ago is the same as the address of enumeration,1725
E01000061,Address one year ago is student term-time or boarding school address in the UK,2
E01000061,Migrant from within the UK: Address one year ago was in the UK,151
E01000061,Migrant from outside the UK: Address one year ago was outside the UK,9
E01000062,Does not apply,23
E01000062,Address one year ago is the same as the address of enumeration,2003
E01000062,Address one year ago is student term-time or boarding school address in the UK,3
