Lower layer Super Output Areas Code,Over 30 with no qualifications,Observation
E01000457,Over 30 no qualifications,245
E01000458,Over 30 no qualifications,187
E01000459,Over 30 no qualifications,273
E01000460,Over 30 no qualifications,99
E01000461,Over 30 no qualifications,158
E01000462,Over 30 no qualifications,250
E01000463,Over 30 no qualifications,105
E01000464,Over 30 no qualifications,234
E01000465,Over 30 no qualifications,248
E01000466,Over 30 no qualifications,206
E01000467,Over 30 no qualifications,220
E01000468,Over 30 no qualifications,244
E01000469,Over 30 no qualifications,178
E01000470,Over 30 no qualifications,182
E01000471,Over 30 no qualifications,351
E01000472,Over 30 no qualifications,320
E01000473,Over 30 no qualifications,644
E01000474,Over 30 no qualifications,559
E01000475,Over 30 no qualifications,409
E01000476,Over 30 no qualifications,523
E01000477,Over 30 no qualifications,565
E01000478,Over 30 no qualifications,527
E01000479,Over 30 no qualifications,248
E01000480,Over 30 no qualifications,203
E01000481,Over 30 no qualifications,195
E01000483,Over 30 no qualifications,297
E01000484,Over 30 no qualifications,298
E01000485,Over 30 no qualifications,333
E01000486,Over 30 no qualifications,215
E01000487,Over 30 no qualifications,310
E01000488,Over 30 no qualifications,195
E01000489,Over 30 no qualifications,173
E01000490,Over 30 no qualifications,218
E01000491,Over 30 no qualifications,212
E01000492,Over 30 no qualifications,127
E01000493,Over 30 no qualifications,204
E01000494,Over 30 no qualifications,257
E01000495,Over 30 no qualifications,221
E01000497,Over 30 no qualifications,358
E01000498,Over 30 no qualifications,368
E01000499,Over 30 no qualifications,306
E01000501,Over 30 no qualifications,268
E01000502,Over 30 no qualifications,250
E01000503,Over 30 no qualifications,314
E01000504,Over 30 no qualifications,188
E01000505,Over 30 no qualifications,224
E01000506,Over 30 no qualifications,253
E01000507,Over 30 no qualifications,217
E01000508,Over 30 no qualifications,419
E01000509,Over 30 no qualifications,293
E01000510,Over 30 no qualifications,308
E01000511,Over 30 no qualifications,262
E01000512,Over 30 no qualifications,194
E01000513,Over 30 no qualifications,290
E01000514,Over 30 no qualifications,201
E01000515,Over 30 no qualifications,302
E01000516,Over 30 no qualifications,337
E01000517,Over 30 no qualifications,275
E01000518,Over 30 no qualifications,324
E01000519,Over 30 no qualifications,283
E01000520,Over 30 no qualifications,238
E01000521,Over 30 no qualifications,395
E01000522,Over 30 no qualifications,311
E01000523,Over 30 no qualifications,420
E01000524,Over 30 no qualifications,408
E01000525,Over 30 no qualifications,288
E01000526,Over 30 no qualifications,381
E01000527,Over 30 no qualifications,334
E01000528,Over 30 no qualifications,222
E01000530,Over 30 no qualifications,228
E01000531,Over 30 no qualifications,277
E01000532,Over 30 no qualifications,130
E01000533,Over 30 no qualifications,364
E01000534,Over 30 no qualifications,182
E01000535,Over 30 no qualifications,321
E01000536,Over 30 no qualifications,171
E01000538,Over 30 no qualifications,171
E01000539,Over 30 no qualifications,213
E01000540,Over 30 no qualifications,159
E01000541,Over 30 no qualifications,215
E01000543,Over 30 no qualifications,278
E01000544,Over 30 no qualifications,224
E01000545,Over 30 no qualifications,235
E01000546,Over 30 no qualifications,195
E01000547,Over 30 no qualifications,162
E01000548,Over 30 no qualifications,253
E01000549,Over 30 no qualifications,157
E01000550,Over 30 no qualifications,295
E01000551,Over 30 no qualifications,409
E01000552,Over 30 no qualifications,175
E01000553,Over 30 no qualifications,323
E01000554,Over 30 no qualifications,253
E01000555,Over 30 no qualifications,184
E01000556,Over 30 no qualifications,364
E01000557,Over 30 no qualifications,325
E01000558,Over 30 no qualifications,169
E01000559,Over 30 no qualifications,175
E01000560,Over 30 no qualifications,120
E01000561,Over 30 no qualifications,227
E01000562,Over 30 no qualifications,188
E01000563,Over 30 no qualifications,182
E01000564,Over 30 no qualifications,190
E01000565,Over 30 no qualifications,205
E01000566,Over 30 no qualifications,197
E01000567,Over 30 no qualifications,178
E01000568,Over 30 no qualifications,152
E01000569,Over 30 no qualifications,173
E01000570,Over 30 no qualifications,256
E01000571,Over 30 no qualifications,297
E01000572,Over 30 no qualifications,159
E01000573,Over 30 no qualifications,209
E01000574,Over 30 no qualifications,190
E01000575,Over 30 no qualifications,308
E01000576,Over 30 no qualifications,227
E01000577,Over 30 no qualifications,332
E01000578,Over 30 no qualifications,329
E01000579,Over 30 no qualifications,163
E01000580,Over 30 no qualifications,179
E01000581,Over 30 no qualifications,98
E01000582,Over 30 no qualifications,106
E01000583,Over 30 no qualifications,169
E01000584,Over 30 no qualifications,204
E01000585,Over 30 no qualifications,130
E01000586,Over 30 no qualifications,200
E01000587,Over 30 no qualifications,271
E01000589,Over 30 no qualifications,434
E01000590,Over 30 no qualifications,286
E01000591,Over 30 no qualifications,341
E01000592,Over 30 no qualifications,303
E01000593,Over 30 no qualifications,335
E01000594,Over 30 no qualifications,317
E01000595,Over 30 no qualifications,294
E01000596,Over 30 no qualifications,327
E01000599,Over 30 no qualifications,292
E01000601,Over 30 no qualifications,249
E01000602,Over 30 no qualifications,267
E01000603,Over 30 no qualifications,248
E01000604,Over 30 no qualifications,271
E01000605,Over 30 no qualifications,348
E01000606,Over 30 no qualifications,328
E01000607,Over 30 no qualifications,386
E01000608,Over 30 no qualifications,376
E01000609,Over 30 no qualifications,309
E01000610,Over 30 no qualifications,343
E01000611,Over 30 no qualifications,251
E01000612,Over 30 no qualifications,295
E01000613,Over 30 no qualifications,263
E01000615,Over 30 no qualifications,263
E01000616,Over 30 no qualifications,272
E01000617,Over 30 no qualifications,387
E01000618,Over 30 no qualifications,320
E01000619,Over 30 no qualifications,319
E01000620,Over 30 no qualifications,378
E01000621,Over 30 no qualifications,353
E01000622,Over 30 no qualifications,333
E01000623,Over 30 no qualifications,274
E01000624,Over 30 no qualifications,322
E01000625,Over 30 no qualifications,288
E01000626,Over 30 no qualifications,273
E01000627,Over 30 no qualifications,390
E01000628,Over 30 no qualifications,359
E01000629,Over 30 no qualifications,354
E01000630,Over 30 no qualifications,459
E01000631,Over 30 no qualifications,349
E01000632,Over 30 no qualifications,609
E01000633,Over 30 no qualifications,609
E01000634,Over 30 no qualifications,443
E01000636,Over 30 no qualifications,476
E01000637,Over 30 no qualifications,263
E01000638,Over 30 no qualifications,354
E01000639,Over 30 no qualifications,247
E01000640,Over 30 no qualifications,436
E01000641,Over 30 no qualifications,286
E01000642,Over 30 no qualifications,263
E01000643,Over 30 no qualifications,350
