Lower layer Super Output Areas Code,Age (4 categories),Observation
E01000110,Aged 30 years and over,939
E01000111,Aged 15 years and under,541
E01000111,Aged 16 to 20 years,134
E01000111,Aged 21 to 29 years,285
E01000111,Aged 30 years and over,1194
E01000112,Aged 15 years and under,466
E01000112,Aged 16 to 20 years,103
E01000112,Aged 21 to 29 years,256
E01000112,Aged 30 years and over,1146
E01000113,Aged 15 years and under,474
E01000113,Aged 16 to 20 years,152
E01000113,Aged 21 to 29 years,259
E01000113,Aged 30 years and over,1110
E01000114,Aged 15 years and under,715
E01000114,Aged 16 to 20 years,165
E01000114,Aged 21 to 29 years,250
E01000114,Aged 30 years and over,1291
E01000115,Aged 15 years and under,223
E01000115,Aged 16 to 20 years,75
E01000115,Aged 21 to 29 years,142
E01000115,Aged 30 years and over,955
E01000116,Aged 15 years and under,384
E01000116,Aged 16 to 20 years,99
E01000116,Aged 21 to 29 years,142
E01000116,Aged 30 years and over,1120
E01000117,Aged 15 years and under,335
E01000117,Aged 16 to 20 years,74
E01000117,Aged 21 to 29 years,162
E01000117,Aged 30 years and over,1165
E01000118,Aged 15 years and under,405
E01000118,Aged 16 to 20 years,111
E01000118,Aged 21 to 29 years,199
E01000118,Aged 30 years and over,1334
E01000119,Aged 15 years and under,330
E01000119,Aged 16 to 20 years,90
E01000119,Aged 21 to 29 years,173
E01000119,Aged 30 years and over,1202
E01000120,Aged 15 years and under,271
E01000120,Aged 16 to 20 years,87
E01000120,Aged 21 to 29 years,152
E01000120,Aged 30 years and over,985
E01000121,Aged 15 years and under,269
E01000121,Aged 16 to 20 years,89
E01000121,Aged 21 to 29 years,224
E01000121,Aged 30 years and over,896
E01000122,Aged 15 years and under,308
E01000122,Aged 16 to 20 years,94
E01000122,Aged 21 to 29 years,138
E01000122,Aged 30 years and over,971
E01000123,Aged 15 years and under,336
E01000123,Aged 16 to 20 years,62
E01000123,Aged 21 to 29 years,143
E01000123,Aged 30 years and over,1221
E01000124,Aged 15 years and under,401
E01000124,Aged 16 to 20 years,91
E01000124,Aged 21 to 29 years,212
E01000124,Aged 30 years and over,1163
E01000126,Aged 15 years and under,460
E01000126,Aged 16 to 20 years,168
E01000126,Aged 21 to 29 years,365
E01000126,Aged 30 years and over,1281
E01000127,Aged 15 years and under,361
E01000127,Aged 16 to 20 years,90
E01000127,Aged 21 to 29 years,169
E01000127,Aged 30 years and over,937
E01000128,Aged 15 years and under,443
E01000128,Aged 16 to 20 years,150
E01000128,Aged 21 to 29 years,226
E01000128,Aged 30 years and over,1230
E01000129,Aged 15 years and under,341
E01000129,Aged 16 to 20 years,95
E01000129,Aged 21 to 29 years,215
E01000129,Aged 30 years and over,953
E01000130,Aged 15 years and under,409
E01000130,Aged 16 to 20 years,111
E01000130,Aged 21 to 29 years,250
E01000130,Aged 30 years and over,1168
E01000131,Aged 15 years and under,420
