Lower layer Super Output Areas Code,Ethnic group (6 categories),Observation
E01033869,"Asian, Asian British or Asian Welsh",138
E01033869,"Black, Black British, Black Welsh, Caribbean or African",392
E01033869,Mixed or Multiple ethnic groups,90
E01033869,White,774
E01033869,Other ethnic group,74
E01033870,Does not apply,0
E01033870,"Asian, Asian British or Asian Welsh",184
E01033870,"Black, Black British, Black Welsh, Caribbean or African",300
E01033870,Mixed or Multiple ethnic groups,166
E01033870,White,1049
E01033870,Other ethnic group,69
E01033871,Does not apply,0
E01033871,"Asian, Asian British or Asian Welsh",110
E01033871,"Black, Black British, Black Welsh, Caribbean or African",262
E01033871,Mixed or Multiple ethnic groups,109
E01033871,White,932
E01033871,Other ethnic group,99
E01033872,Does not apply,0
E01033872,"Asian, Asian British or Asian Welsh",93
E01033872,"Black, Black British, Black Welsh, Caribbean or African",299
E01033872,Mixed or Multiple ethnic groups,87
E01033872,White,757
E01033872,Other ethnic group,65
E01033873,Does not apply,0
E01033873,"Asian, Asian British or Asian Welsh",442
E01033873,"Black, Black British, Black Welsh, Caribbean or African",533
E01033873,Mixed or Multiple ethnic groups,91
E01033873,White,519
E01033873,Other ethnic group,186
E01033874,Does not apply,0
E01033874,"Asian, Asian British or Asian Welsh",317
E01033874,"Black, Black British, Black Welsh, Caribbean or African",77
E01033874,Mixed or Multiple ethnic groups,65
E01033874,White,634
E01033874,Other ethnic group,58
E01033875,Does not apply,0
E01033875,"Asian, Asian British or Asian Welsh",140
E01033875,"Black, Black British, Black Welsh, Caribbean or African",379
E01033875,Mixed or Multiple ethnic groups,112
E01033875,White,609
E01033875,Other ethnic group,82
E01033876,Does not apply,0
E01033876,"Asian, Asian British or Asian Welsh",231
E01033876,"Black, Black British, Black Welsh, Caribbean or African",133
E01033876,Mixed or Multiple ethnic groups,91
E01033876,White,753
E01033876,Other ethnic group,42
E01033877,Does not apply,0
E01033877,"Asian, Asian British or Asian Welsh",174
E01033877,"Black, Black British, Black Welsh, Caribbean or African",393
E01033877,Mixed or Multiple ethnic groups,106
E01033877,White,776
E01033877,Other ethnic group,96
E01033878,Does not apply,0
E01033878,"Asian, Asian British or Asian Welsh",88
E01033878,"Black, Black British, Black Welsh, Caribbean or African",397
E01033878,Mixed or Multiple ethnic groups,68
E01033878,White,423
E01033878,Other ethnic group,132
E01033879,Does not apply,0
E01033879,"Asian, Asian British or Asian Welsh",247
E01033879,"Black, Black British, Black Welsh, Caribbean or African",1353
E01033879,Mixed or Multiple ethnic groups,159
E01033879,White,568
E01033879,Other ethnic group,228
E01033880,Does not apply,0
E01033880,"Asian, Asian British or Asian Welsh",113
E01033880,"Black, Black British, Black Welsh, Caribbean or African",518
E01033880,Mixed or Multiple ethnic groups,150
E01033880,White,729
E01033880,Other ethnic group,623
E01033881,Does not apply,0
E01033881,"Asian, Asian British or Asian Welsh",228
E01033881,"Black, Black British, Black Welsh, Caribbean or African",728
E01033881,Mixed or Multiple ethnic groups,123
E01033881,White,641
E01033881,Other ethnic group,167
E01033882,Does not apply,0
E01033882,"Asian, Asian British or Asian Welsh",203
E01033882,"Black, Black British, Black Welsh, Caribbean or African",342
E01033882,Mixed or Multiple ethnic groups,93
E01033882,White,697
E01033882,Other ethnic group,73
E01033883,Does not apply,0
E01033883,"Asian, Asian British or Asian Welsh",128
E01033883,"Black, Black British, Black Welsh, Caribbean or African",686
E01033883,Mixed or Multiple ethnic groups,90
E01033883,White,630
E01033883,Other ethnic group,67
E01033884,Does not apply,0
E01033884,"Asian, Asian British or Asian Welsh",203
E01033884,"Black, Black British, Black Welsh, Caribbean or African",101
E01033884,Mixed or Multiple ethnic groups,98
E01033884,White,638
E01033884,Other ethnic group,62
E01033885,Does not apply,0
E01033885,"Asian, Asian British or Asian Welsh",115
E01033885,"Black, Black British, Black Welsh, Caribbean or African",324
E01033885,Mixed or Multiple ethnic groups,107
E01033885,White,692
E01033885,Other ethnic group,92
E01033911,Does not apply,0
E01033911,"Asian, Asian British or Asian Welsh",419
E01033911,"Black, Black British, Black Welsh, Caribbean or African",129
E01033911,Mixed or Multiple ethnic groups,110
E01033911,White,1055
E01033911,Other ethnic group,165
E01033912,Does not apply,0
E01033912,"Asian, Asian British or Asian Welsh",448
E01033912,"Black, Black British, Black Welsh, Caribbean or African",178
E01033912,Mixed or Multiple ethnic groups,122
E01033912,White,796
E01033912,Other ethnic group,161
E01033913,Does not apply,0
E01033913,"Asian, Asian British or Asian Welsh",333
E01033913,"Black, Black British, Black Welsh, Caribbean or African",279
E01033913,Mixed or Multiple ethnic groups,118
E01033913,White,631
E01033913,Other ethnic group,168
E01033914,Does not apply,0
E01033914,"Asian, Asian British or Asian Welsh",497
E01033914,"Black, Black British, Black Welsh, Caribbean or African",280
E01033914,Mixed or Multiple ethnic groups,131
E01033914,White,735
E01033914,Other ethnic group,171
E01033915,Does not apply,0
E01033915,"Asian, Asian British or Asian Welsh",345
E01033915,"Black, Black British, Black Welsh, Caribbean or African",262
E01033915,Mixed or Multiple ethnic groups,122
E01033915,White,477
E01033915,Other ethnic group,279
E01033916,Does not apply,0
E01033916,"Asian, Asian British or Asian Welsh",423
E01033916,"Black, Black British, Black Welsh, Caribbean or African",222
E01033916,Mixed or Multiple ethnic groups,87
E01033916,White,846
E01033916,Other ethnic group,207
E01033917,Does not apply,0
E01033917,"Asian, Asian British or Asian Welsh",444
E01033917,"Black, Black British, Black Welsh, Caribbean or African",216
E01033917,Mixed or Multiple ethnic groups,97
E01033917,White,589
E01033917,Other ethnic group,165
E01033918,Does not apply,0
E01033918,"Asian, Asian British or Asian Welsh",491
E01033918,"Black, Black British, Black Welsh, Caribbean or African",224
E01033918,Mixed or Multiple ethnic groups,95
E01033918,White,605
E01033918,Other ethnic group,139
E01033919,Does not apply,0
E01033919,"Asian, Asian British or Asian Welsh",460
E01033919,"Black, Black British, Black Welsh, Caribbean or African",123
E01033919,Mixed or Multiple ethnic groups,95
E01033919,White,475
E01033919,Other ethnic group,158
E01033920,Does not apply,0
E01033920,"Asian, Asian British or Asian Welsh",585
E01033920,"Black, Black British, Black Welsh, Caribbean or African",86
E01033920,Mixed or Multiple ethnic groups,60
E01033920,White,654
E01033920,Other ethnic group,137
E01033921,Does not apply,0
E01033921,"Asian, Asian British or Asian Welsh",559
E01033921,"Black, Black British, Black Welsh, Caribbean or African",251
E01033921,Mixed or Multiple ethnic groups,105
E01033921,White,563
E01033921,Other ethnic group,177
E01033922,Does not apply,0
E01033922,"Asian, Asian British or Asian Welsh",661
E01033922,"Black, Black British, Black Welsh, Caribbean or African",150
E01033922,Mixed or Multiple ethnic groups,100
E01033922,White,616
E01033922,Other ethnic group,182
E01033923,Does not apply,0
E01033923,"Asian, Asian British or Asian Welsh",572
E01033923,"Black, Black British, Black Welsh, Caribbean or African",201
E01033923,Mixed or Multiple ethnic groups,70
E01033923,White,504
E01033923,Other ethnic group,213
E01033924,Does not apply,0
E01033924,"Asian, Asian British or Asian Welsh",548
E01033924,"Black, Black British, Black Welsh, Caribbean or African",230
E01033924,Mixed or Multiple ethnic groups,93
E01033924,White,485
E01033924,Other ethnic group,186
E01033925,Does not apply,0
E01033925,"Asian, Asian British or Asian Welsh",561
E01033925,"Black, Black British, Black Welsh, Caribbean or African",184
E01033925,Mixed or Multiple ethnic groups,105
E01033925,White,720
E01033925,Other ethnic group,162
E01033926,Does not apply,0
E01033926,"Asian, Asian British or Asian Welsh",358
E01033926,"Black, Black British, Black Welsh, Caribbean or African",888
E01033926,Mixed or Multiple ethnic groups,175
E01033926,White,876
E01033926,Other ethnic group,337
E01033927,Does not apply,0
E01033927,"Asian, Asian British or Asian Welsh",274
E01033927,"Black, Black British, Black Welsh, Caribbean or African",107
E01033927,Mixed or Multiple ethnic groups,99
E01033927,White,1011
E01033927,Other ethnic group,165
E01033928,Does not apply,0
E01033928,"Asian, Asian British or Asian Welsh",238
E01033928,"Black, Black British, Black Welsh, Caribbean or African",65
E01033928,Mixed or Multiple ethnic groups,71
E01033928,White,809
E01033928,Other ethnic group,117
E01033929,Does not apply,0
E01033929,"Asian, Asian British or Asian Welsh",466
E01033929,"Black, Black British, Black Welsh, Caribbean or African",257
E01033929,Mixed or Multiple ethnic groups,70
E01033929,White,452
E01033929,Other ethnic group,100
E01033930,Does not apply,0
E01033930,"Asian, Asian British or Asian Welsh",719
E01033930,"Black, Black British, Black Welsh, Caribbean or African",352
E01033930,Mixed or Multiple ethnic groups,73
E01033930,White,569
E01033930,Other ethnic group,132
E01033931,Does not apply,0
E01033931,"Asian, Asian British or Asian Welsh",399
E01033931,"Black, Black British, Black Welsh, Caribbean or African",330
E01033931,Mixed or Multiple ethnic groups,62
E01033931,White,454
E01033931,Other ethnic group,114
E01033932,Does not apply,0
E01033932,"Asian, Asian British or Asian Welsh",424
E01033932,"Black, Black British, Black Welsh, Caribbean or African",668
E01033932,Mixed or Multiple ethnic groups,67
E01033932,White,371
E01033932,Other ethnic group,130
E01033933,Does not apply,0
E01033933,"Asian, Asian British or Asian Welsh",656
E01033933,"Black, Black British, Black Welsh, Caribbean or African",234
E01033933,Mixed or Multiple ethnic groups,47
E01033933,White,261
E01033933,Other ethnic group,283
E01033934,Does not apply,0
E01033934,"Asian, Asian British or Asian Welsh",627
E01033934,"Black, Black British, Black Welsh, Caribbean or African",294
E01033934,Mixed or Multiple ethnic groups,47
E01033934,White,400
E01033934,Other ethnic group,270
E01033935,Does not apply,0
E01033935,"Asian, Asian British or Asian Welsh",1235
E01033935,"Black, Black British, Black Welsh, Caribbean or African",284
E01033935,Mixed or Multiple ethnic groups,43
E01033935,White,364
E01033935,Other ethnic group,82
E01033936,Does not apply,0
E01033936,"Asian, Asian British or Asian Welsh",885
E01033936,"Black, Black British, Black Welsh, Caribbean or African",217
E01033936,Mixed or Multiple ethnic groups,76
E01033936,White,342
E01033936,Other ethnic group,122
E01033937,Does not apply,0
E01033937,"Asian, Asian British or Asian Welsh",182
E01033937,"Black, Black British, Black Welsh, Caribbean or African",534
E01033937,Mixed or Multiple ethnic groups,81
E01033937,White,258
E01033937,Other ethnic group,111
E01033938,Does not apply,0
E01033938,"Asian, Asian British or Asian Welsh",167
E01033938,"Black, Black British, Black Welsh, Caribbean or African",591
E01033938,Mixed or Multiple ethnic groups,75
E01033938,White,264
E01033938,Other ethnic group,134
E01033939,Does not apply,0
E01033939,"Asian, Asian British or Asian Welsh",415
E01033939,"Black, Black British, Black Welsh, Caribbean or African",293
E01033939,Mixed or Multiple ethnic groups,131
E01033939,White,631
E01033939,Other ethnic group,462
E01033940,Does not apply,0
E01033940,"Asian, Asian British or Asian Welsh",698
E01033940,"Black, Black British, Black Welsh, Caribbean or African",307
E01033940,Mixed or Multiple ethnic groups,138
E01033940,White,1031
E01033940,Other ethnic group,178
E01033941,Does not apply,0
E01033941,"Asian, Asian British or Asian Welsh",595
E01033941,"Black, Black British, Black Welsh, Caribbean or African",291
E01033941,Mixed or Multiple ethnic groups,87
E01033941,White,456
E01033941,Other ethnic group,138
E01033942,Does not apply,0
E01033942,"Asian, Asian British or Asian Welsh",453
E01033942,"Black, Black British, Black Welsh, Caribbean or African",164
E01033942,Mixed or Multiple ethnic groups,109
E01033942,White,749
E01033942,Other ethnic group,132
E01033943,Does not apply,0
E01033943,"Asian, Asian British or Asian Welsh",492
E01033943,"Black, Black British, Black Welsh, Caribbean or African",394
E01033943,Mixed or Multiple ethnic groups,139
E01033943,White,1326
E01033943,Other ethnic group,163
E01033944,Does not apply,0
E01033944,"Asian, Asian British or Asian Welsh",441
E01033944,"Black, Black British, Black Welsh, Caribbean or African",681
E01033944,Mixed or Multiple ethnic groups,192
E01033944,White,909
E01033944,Other ethnic group,312
E01033945,Does not apply,0
E01033945,"Asian, Asian British or Asian Welsh",111
E01033945,"Black, Black British, Black Welsh, Caribbean or African",222
E01033945,Mixed or Multiple ethnic groups,103
E01033945,White,835
E01033945,Other ethnic group,98
E01033946,Does not apply,0
E01033946,"Asian, Asian British or Asian Welsh",94
E01033946,"Black, Black British, Black Welsh, Caribbean or African",153
E01033946,Mixed or Multiple ethnic groups,97
E01033946,White,902
E01033946,Other ethnic group,114
E01034026,Does not apply,0
E01034026,"Asian, Asian British or Asian Welsh",681
E01034026,"Black, Black British, Black Welsh, Caribbean or African",184
E01034026,Mixed or Multiple ethnic groups,160
E01034026,White,1267
E01034026,Other ethnic group,219
E01034027,Does not apply,0
E01034027,"Asian, Asian British or Asian Welsh",511
E01034027,"Black, Black British, Black Welsh, Caribbean or African",362
E01034027,Mixed or Multiple ethnic groups,172
E01034027,White,1177
E01034027,Other ethnic group,311
E01034028,Does not apply,0
E01034028,"Asian, Asian British or Asian Welsh",246
E01034028,"Black, Black British, Black Welsh, Caribbean or African",120
E01034028,Mixed or Multiple ethnic groups,102
E01034028,White,645
E01034028,Other ethnic group,117
E01034029,Does not apply,0
E01034029,"Asian, Asian British or Asian Welsh",389
E01034029,"Black, Black British, Black Welsh, Caribbean or African",115
E01034029,Mixed or Multiple ethnic groups,108
E01034029,White,778
E01034029,Other ethnic group,136
E01034030,Does not apply,0
E01034030,"Asian, Asian British or Asian Welsh",318
E01034030,"Black, Black British, Black Welsh, Caribbean or African",95
E01034030,Mixed or Multiple ethnic groups,112
E01034030,White,1193
E01034030,Other ethnic group,143
E01034031,Does not apply,0
E01034031,"Asian, Asian British or Asian Welsh",560
E01034031,"Black, Black British, Black Welsh, Caribbean or African",36
E01034031,Mixed or Multiple ethnic groups,36
E01034031,White,584
E01034031,Other ethnic group,96
E01034032,Does not apply,0
E01034032,"Asian, Asian British or Asian Welsh",179
E01034032,"Black, Black British, Black Welsh, Caribbean or African",216
E01034032,Mixed or Multiple ethnic groups,153
E01034032,White,1188
E01034032,Other ethnic group,77
E01034033,Does not apply,0
E01034033,"Asian, Asian British or Asian Welsh",312
E01034033,"Black, Black British, Black Welsh, Caribbean or African",84
E01034033,Mixed or Multiple ethnic groups,102
E01034033,White,1113
E01034033,Other ethnic group,141
E01034034,Does not apply,0
E01034034,"Asian, Asian British or Asian Welsh",600
E01034034,"Black, Black British, Black Welsh, Caribbean or African",128
E01034034,Mixed or Multiple ethnic groups,172
E01034034,White,650
E01034034,Other ethnic group,123
E01034035,Does not apply,0
E01034035,"Asian, Asian British or Asian Welsh",168
E01034035,"Black, Black British, Black Welsh, Caribbean or African",40
E01034035,Mixed or Multiple ethnic groups,79
E01034035,White,1249
E01034035,Other ethnic group,47
E01034036,Does not apply,0
E01034036,"Asian, Asian British or Asian Welsh",946
E01034036,"Black, Black British, Black Welsh, Caribbean or African",193
E01034036,Mixed or Multiple ethnic groups,115
E01034036,White,472
E01034036,Other ethnic group,128
E01034037,Does not apply,0
E01034037,"Asian, Asian British or Asian Welsh",991
E01034037,"Black, Black British, Black Welsh, Caribbean or African",131
E01034037,Mixed or Multiple ethnic groups,68
E01034037,White,534
E01034037,Other ethnic group,129
E01034038,Does not apply,0
E01034038,"Asian, Asian British or Asian Welsh",1084
E01034038,"Black, Black British, Black Welsh, Caribbean or African",150
E01034038,Mixed or Multiple ethnic groups,98
E01034038,White,363
E01034038,Other ethnic group,104
E01034039,Does not apply,0
E01034039,"Asian, Asian British or Asian Welsh",1017
E01034039,"Black, Black British, Black Welsh, Caribbean or African",149
E01034039,Mixed or Multiple ethnic groups,78
E01034039,White,360
E01034039,Other ethnic group,128
E01034040,Does not apply,0
E01034040,"Asian, Asian British or Asian Welsh",971
E01034040,"Black, Black British, Black Welsh, Caribbean or African",78
E01034040,Mixed or Multiple ethnic groups,45
E01034040,White,439
E01034040,Other ethnic group,122
E01034041,Does not apply,0
E01034041,"Asian, Asian British or Asian Welsh",851
E01034041,"Black, Black British, Black Welsh, Caribbean or African",67
E01034041,Mixed or Multiple ethnic groups,51
E01034041,White,428
E01034041,Other ethnic group,83
E01034042,Does not apply,0
E01034042,"Asian, Asian British or Asian Welsh",182
E01034042,"Black, Black British, Black Welsh, Caribbean or African",178
E01034042,Mixed or Multiple ethnic groups,103
E01034042,White,634
E01034042,Other ethnic group,160
E01034043,Does not apply,0
E01034043,"Asian, Asian British or Asian Welsh",279
E01034043,"Black, Black British, Black Welsh, Caribbean or African",234
E01034043,Mixed or Multiple ethnic groups,96
E01034043,White,621
E01034043,Other ethnic group,211
E01034044,Does not apply,0
E01034044,"Asian, Asian British or Asian Welsh",261
E01034044,"Black, Black British, Black Welsh, Caribbean or African",80
E01034044,Mixed or Multiple ethnic groups,73
E01034044,White,682
E01034044,Other ethnic group,135
E01034045,Does not apply,0
E01034045,"Asian, Asian British or Asian Welsh",403
E01034045,"Black, Black British, Black Welsh, Caribbean or African",175
E01034045,Mixed or Multiple ethnic groups,140
E01034045,White,894
E01034045,Other ethnic group,181
E01034046,Does not apply,0
E01034046,"Asian, Asian British or Asian Welsh",300
E01034046,"Black, Black British, Black Welsh, Caribbean or African",437
E01034046,Mixed or Multiple ethnic groups,127
E01034046,White,939
E01034046,Other ethnic group,146
E01034139,Does not apply,0
E01034139,"Asian, Asian British or Asian Welsh",695
E01034139,"Black, Black British, Black Welsh, Caribbean or African",499
E01034139,Mixed or Multiple ethnic groups,127
E01034139,White,393
E01034139,Other ethnic group,91
E01034140,Does not apply,0
E01034140,"Asian, Asian British or Asian Welsh",398
E01034140,"Black, Black British, Black Welsh, Caribbean or African",344
E01034140,Mixed or Multiple ethnic groups,93
E01034140,White,341
E01034140,Other ethnic group,66
E01034141,Does not apply,0
E01034141,"Asian, Asian British or Asian Welsh",361
E01034141,"Black, Black British, Black Welsh, Caribbean or African",400
E01034141,Mixed or Multiple ethnic groups,103
E01034141,White,505
E01034141,Other ethnic group,51
E01034142,Does not apply,0
E01034142,"Asian, Asian British or Asian Welsh",298
E01034142,"Black, Black British, Black Welsh, Caribbean or African",377
E01034142,Mixed or Multiple ethnic groups,145
E01034142,White,575
E01034142,Other ethnic group,84
E01034143,Does not apply,0
E01034143,"Asian, Asian British or Asian Welsh",286
E01034143,"Black, Black British, Black Welsh, Caribbean or African",345
E01034143,Mixed or Multiple ethnic groups,126
E01034143,White,470
E01034143,Other ethnic group,82
E01034144,Does not apply,0
E01034144,"Asian, Asian British or Asian Welsh",254
E01034144,"Black, Black British, Black Welsh, Caribbean or African",401
E01034144,Mixed or Multiple ethnic groups,121
E01034144,White,517
E01034144,Other ethnic group,58
E01034145,Does not apply,0
E01034145,"Asian, Asian British or Asian Welsh",221
E01034145,"Black, Black British, Black Welsh, Caribbean or African",382
E01034145,Mixed or Multiple ethnic groups,168
E01034145,White,486
E01034145,Other ethnic group,72
E01034146,Does not apply,0
E01034146,"Asian, Asian British or Asian Welsh",296
E01034146,"Black, Black British, Black Welsh, Caribbean or African",409
E01034146,Mixed or Multiple ethnic groups,142
E01034146,White,531
E01034146,Other ethnic group,62
E01034147,Does not apply,0
E01034147,"Asian, Asian British or Asian Welsh",306
E01034147,"Black, Black British, Black Welsh, Caribbean or African",210
E01034147,Mixed or Multiple ethnic groups,75
E01034147,White,470
E01034147,Other ethnic group,61
E01034148,Does not apply,0
E01034148,"Asian, Asian British or Asian Welsh",348
E01034148,"Black, Black British, Black Welsh, Caribbean or African",258
E01034148,Mixed or Multiple ethnic groups,103
E01034148,White,756
E01034148,Other ethnic group,163
E01034149,Does not apply,0
E01034149,"Asian, Asian British or Asian Welsh",498
E01034149,"Black, Black British, Black Welsh, Caribbean or African",341
E01034149,Mixed or Multiple ethnic groups,135
E01034149,White,1065
E01034149,Other ethnic group,75
E01034150,Does not apply,0
E01034150,"Asian, Asian British or Asian Welsh",235
E01034150,"Black, Black British, Black Welsh, Caribbean or African",350
E01034150,Mixed or Multiple ethnic groups,111
E01034150,White,589
E01034150,Other ethnic group,61
E01034151,Does not apply,0
E01034151,"Asian, Asian British or Asian Welsh",160
E01034151,"Black, Black British, Black Welsh, Caribbean or African",275
E01034151,Mixed or Multiple ethnic groups,101
E01034151,White,561
E01034151,Other ethnic group,66
E01034152,Does not apply,0
E01034152,"Asian, Asian British or Asian Welsh",246
E01034152,"Black, Black British, Black Welsh, Caribbean or African",369
E01034152,Mixed or Multiple ethnic groups,154
E01034152,White,760
E01034152,Other ethnic group,96
E01034153,Does not apply,0
E01034153,"Asian, Asian British or Asian Welsh",209
E01034153,"Black, Black British, Black Welsh, Caribbean or African",142
E01034153,Mixed or Multiple ethnic groups,87
E01034153,White,914
E01034153,Other ethnic group,50
E01034154,Does not apply,0
E01034154,"Asian, Asian British or Asian Welsh",374
E01034154,"Black, Black British, Black Welsh, Caribbean or African",113
E01034154,Mixed or Multiple ethnic groups,107
E01034154,White,881
E01034154,Other ethnic group,60
E01034155,Does not apply,0
E01034155,"Asian, Asian British or Asian Welsh",384
E01034155,"Black, Black British, Black Welsh, Caribbean or African",176
E01034155,Mixed or Multiple ethnic groups,114
E01034155,White,1248
E01034155,Other ethnic group,130
E01034156,Does not apply,0
E01034156,"Asian, Asian British or Asian Welsh",290
E01034156,"Black, Black British, Black Welsh, Caribbean or African",103
E01034156,Mixed or Multiple ethnic groups,97
E01034156,White,850
E01034156,Other ethnic group,66
E01034173,Does not apply,0
E01034173,"Asian, Asian British or Asian Welsh",300
E01034173,"Black, Black British, Black Welsh, Caribbean or African",673
E01034173,Mixed or Multiple ethnic groups,97
E01034173,White,719
E01034173,Other ethnic group,67
E01034174,Does not apply,0
E01034174,"Asian, Asian British or Asian Welsh",343
E01034174,"Black, Black British, Black Welsh, Caribbean or African",82
E01034174,Mixed or Multiple ethnic groups,74
E01034174,White,698
E01034174,Other ethnic group,56
E01034175,Does not apply,0
E01034175,"Asian, Asian British or Asian Welsh",310
E01034175,"Black, Black British, Black Welsh, Caribbean or African",153
E01034175,Mixed or Multiple ethnic groups,94
E01034175,White,708
E01034175,Other ethnic group,39
E01034176,Does not apply,0
E01034176,"Asian, Asian British or Asian Welsh",167
E01034176,"Black, Black British, Black Welsh, Caribbean or African",344
E01034176,Mixed or Multiple ethnic groups,59
E01034176,White,1395
E01034176,Other ethnic group,63
E01034177,Does not apply,0
E01034177,"Asian, Asian British or Asian Welsh",217
E01034177,"Black, Black British, Black Welsh, Caribbean or African",429
E01034177,Mixed or Multiple ethnic groups,121
E01034177,White,769
E01034177,Other ethnic group,66
E01034178,Does not apply,0
E01034178,"Asian, Asian British or Asian Welsh",304
E01034178,"Black, Black British, Black Welsh, Caribbean or African",227
E01034178,Mixed or Multiple ethnic groups,189
E01034178,White,903
E01034178,Other ethnic group,69
E01034179,Does not apply,0
E01034179,"Asian, Asian British or Asian Welsh",203
E01034179,"Black, Black British, Black Welsh, Caribbean or African",270
E01034179,Mixed or Multiple ethnic groups,128
E01034179,White,764
E01034179,Other ethnic group,58
E01034180,Does not apply,0
E01034180,"Asian, Asian British or Asian Welsh",94
E01034180,"Black, Black British, Black Welsh, Caribbean or African",454
E01034180,Mixed or Multiple ethnic groups,116
E01034180,White,538
E01034180,Other ethnic group,90
E01034181,Does not apply,0
E01034181,"Asian, Asian British or Asian Welsh",234
E01034181,"Black, Black British, Black Welsh, Caribbean or African",189
E01034181,Mixed or Multiple ethnic groups,132
E01034181,White,1187
E01034181,Other ethnic group,70
E01034182,Does not apply,0
E01034182,"Asian, Asian British or Asian Welsh",218
E01034182,"Black, Black British, Black Welsh, Caribbean or African",187
E01034182,Mixed or Multiple ethnic groups,120
E01034182,White,822
E01034182,Other ethnic group,51
E01034183,Does not apply,0
E01034183,"Asian, Asian British or Asian Welsh",165
E01034183,"Black, Black British, Black Welsh, Caribbean or African",240
E01034183,Mixed or Multiple ethnic groups,125
E01034183,White,938
E01034183,Other ethnic group,57
E01034184,Does not apply,0
E01034184,"Asian, Asian British or Asian Welsh",166
E01034184,"Black, Black British, Black Welsh, Caribbean or African",246
E01034184,Mixed or Multiple ethnic groups,87
E01034184,White,754
E01034184,Other ethnic group,36
E01034185,Does not apply,0
E01034185,"Asian, Asian British or Asian Welsh",94
E01034185,"Black, Black British, Black Welsh, Caribbean or African",80
E01034185,Mixed or Multiple ethnic groups,60
E01034185,White,944
E01034185,Other ethnic group,29
E01034186,Does not apply,0
E01034186,"Asian, Asian British or Asian Welsh",232
E01034186,"Black, Black British, Black Welsh, Caribbean or African",156
E01034186,Mixed or Multiple ethnic groups,103
E01034186,White,829
E01034186,Other ethnic group,39
E01034187,Does not apply,0
E01034187,"Asian, Asian British or Asian Welsh",221
E01034187,"Black, Black British, Black Welsh, Caribbean or African",241
E01034187,Mixed or Multiple ethnic groups,81
E01034187,White,633
E01034187,Other ethnic group,77
E01034188,Does not apply,0
E01034188,"Asian, Asian British or Asian Welsh",246
E01034188,"Black, Black British, Black Welsh, Caribbean or African",173
E01034188,Mixed or Multiple ethnic groups,111
E01034188,White,785
E01034188,Other ethnic group,83
E01034189,Does not apply,0
E01034189,"Asian, Asian British or Asian Welsh",382
E01034189,"Black, Black British, Black Welsh, Caribbean or African",139
E01034189,Mixed or Multiple ethnic groups,79
E01034189,White,607
E01034189,Other ethnic group,61
E01034190,Does not apply,0
E01034190,"Asian, Asian British or Asian Welsh",195
E01034190,"Black, Black British, Black Welsh, Caribbean or African",439
E01034190,Mixed or Multiple ethnic groups,125
E01034190,White,845
E01034190,Other ethnic group,82
E01034191,Does not apply,0
E01034191,"Asian, Asian British or Asian Welsh",249
E01034191,"Black, Black British, Black Welsh, Caribbean or African",249
E01034191,Mixed or Multiple ethnic groups,105
E01034191,White,972
E01034191,Other ethnic group,68
E01034192,Does not apply,0
E01034192,"Asian, Asian British or Asian Welsh",192
E01034192,"Black, Black British, Black Welsh, Caribbean or African",271
E01034192,Mixed or Multiple ethnic groups,135
E01034192,White,1586
E01034192,Other ethnic group,51
E01034193,Does not apply,0
E01034193,"Asian, Asian British or Asian Welsh",243
E01034193,"Black, Black British, Black Welsh, Caribbean or African",290
E01034193,Mixed or Multiple ethnic groups,128
E01034193,White,725
E01034193,Other ethnic group,92
E01034194,Does not apply,0
E01034194,"Asian, Asian British or Asian Welsh",265
E01034194,"Black, Black British, Black Welsh, Caribbean or African",173
E01034194,Mixed or Multiple ethnic groups,96
E01034194,White,726
E01034194,Other ethnic group,39
E01034195,Does not apply,0
E01034195,"Asian, Asian British or Asian Welsh",249
E01034195,"Black, Black British, Black Welsh, Caribbean or African",288
E01034195,Mixed or Multiple ethnic groups,120
E01034195,White,574
E01034195,Other ethnic group,59
E01034196,Does not apply,0
E01034196,"Asian, Asian British or Asian Welsh",316
E01034196,"Black, Black British, Black Welsh, Caribbean or African",135
E01034196,Mixed or Multiple ethnic groups,87
E01034196,White,686
E01034196,Other ethnic group,56
E01034198,Does not apply,0
E01034198,"Asian, Asian British or Asian Welsh",380
E01034198,"Black, Black British, Black Welsh, Caribbean or African",685
E01034198,Mixed or Multiple ethnic groups,128
E01034198,White,1036
E01034198,Other ethnic group,95
E01034199,Does not apply,0
E01034199,"Asian, Asian British or Asian Welsh",482
E01034199,"Black, Black British, Black Welsh, Caribbean or African",518
E01034199,Mixed or Multiple ethnic groups,111
E01034199,White,605
E01034199,Other ethnic group,103
E01034200,Does not apply,0
E01034200,"Asian, Asian British or Asian Welsh",547
E01034200,"Black, Black British, Black Welsh, Caribbean or African",236
E01034200,Mixed or Multiple ethnic groups,80
E01034200,White,620
E01034200,Other ethnic group,86
E01034201,Does not apply,0
E01034201,"Asian, Asian British or Asian Welsh",784
E01034201,"Black, Black British, Black Welsh, Caribbean or African",212
E01034201,Mixed or Multiple ethnic groups,53
E01034201,White,320
E01034201,Other ethnic group,78
E01034202,Does not apply,0
E01034202,"Asian, Asian British or Asian Welsh",591
E01034202,"Black, Black British, Black Welsh, Caribbean or African",398
E01034202,Mixed or Multiple ethnic groups,48
E01034202,White,517
E01034202,Other ethnic group,91
E01034203,Does not apply,0
E01034203,"Asian, Asian British or Asian Welsh",723
