Lower layer Super Output Areas Code,Ethnic group (6 categories),Observation
E01000074,"Black, Black British, Black Welsh, Caribbean or African",353
E01000074,Mixed or Multiple ethnic groups,86
E01000074,White,991
E01000074,Other ethnic group,41
E01000075,Does not apply,0
E01000075,"Asian, Asian British or Asian Welsh",365
E01000075,"Black, Black British, Black Welsh, Caribbean or African",453
E01000075,Mixed or Multiple ethnic groups,53
E01000075,White,1172
E01000075,Other ethnic group,38
E01000076,Does not apply,0
E01000076,"Asian, Asian British or Asian Welsh",315
E01000076,"Black, Black British, Black Welsh, Caribbean or African",461
E01000076,Mixed or Multiple ethnic groups,99
E01000076,White,1234
E01000076,Other ethnic group,52
E01000077,Does not apply,0
E01000077,"Asian, Asian British or Asian Welsh",301
E01000077,"Black, Black British, Black Welsh, Caribbean or African",401
E01000077,Mixed or Multiple ethnic groups,97
E01000077,White,859
E01000077,Other ethnic group,63
E01000078,Does not apply,0
E01000078,"Asian, Asian British or Asian Welsh",376
E01000078,"Black, Black British, Black Welsh, Caribbean or African",382
E01000078,Mixed or Multiple ethnic groups,77
E01000078,White,993
E01000078,Other ethnic group,70
E01000079,Does not apply,0
E01000079,"Asian, Asian British or Asian Welsh",261
E01000079,"Black, Black British, Black Welsh, Caribbean or African",337
E01000079,Mixed or Multiple ethnic groups,66
E01000079,White,1004
E01000079,Other ethnic group,48
E01000080,Does not apply,0
E01000080,"Asian, Asian British or Asian Welsh",301
E01000080,"Black, Black British, Black Welsh, Caribbean or African",359
E01000080,Mixed or Multiple ethnic groups,72
E01000080,White,991
E01000080,Other ethnic group,54
E01000081,Does not apply,0
E01000081,"Asian, Asian British or Asian Welsh",468
E01000081,"Black, Black British, Black Welsh, Caribbean or African",362
E01000081,Mixed or Multiple ethnic groups,61
E01000081,White,1033
E01000081,Other ethnic group,51
E01000082,Does not apply,0
E01000082,"Asian, Asian British or Asian Welsh",269
E01000082,"Black, Black British, Black Welsh, Caribbean or African",393
E01000082,Mixed or Multiple ethnic groups,87
E01000082,White,1098
E01000082,Other ethnic group,66
E01000083,Does not apply,0
E01000083,"Asian, Asian British or Asian Welsh",429
E01000083,"Black, Black British, Black Welsh, Caribbean or African",320
E01000083,Mixed or Multiple ethnic groups,95
E01000083,White,997
E01000083,Other ethnic group,78
E01000084,Does not apply,0
E01000084,"Asian, Asian British or Asian Welsh",217
E01000084,"Black, Black British, Black Welsh, Caribbean or African",269
E01000084,Mixed or Multiple ethnic groups,44
E01000084,White,868
E01000084,Other ethnic group,40
E01000085,Does not apply,0
E01000085,"Asian, Asian British or Asian Welsh",244
E01000085,"Black, Black British, Black Welsh, Caribbean or African",319
E01000085,Mixed or Multiple ethnic groups,54
E01000085,White,988
E01000085,Other ethnic group,42
E01000086,Does not apply,0
E01000086,"Asian, Asian British or Asian Welsh",236
E01000086,"Black, Black British, Black Welsh, Caribbean or African",302
E01000086,Mixed or Multiple ethnic groups,41
E01000086,White,842
E01000086,Other ethnic group,28
E01000087,Does not apply,0
E01000087,"Asian, Asian British or Asian Welsh",231
E01000087,"Black, Black British, Black Welsh, Caribbean or African",451
E01000087,Mixed or Multiple ethnic groups,63
E01000087,White,836
E01000087,Other ethnic group,55
E01000088,Does not apply,0
E01000088,"Asian, Asian British or Asian Welsh",444
E01000088,"Black, Black British, Black Welsh, Caribbean or African",565
E01000088,Mixed or Multiple ethnic groups,80
E01000088,White,815
E01000088,Other ethnic group,72
E01000089,Does not apply,0
E01000089,"Asian, Asian British or Asian Welsh",285
E01000089,"Black, Black British, Black Welsh, Caribbean or African",579
E01000089,Mixed or Multiple ethnic groups,92
E01000089,White,805
E01000089,Other ethnic group,63
E01000090,Does not apply,0
E01000090,"Asian, Asian British or Asian Welsh",413
E01000090,"Black, Black British, Black Welsh, Caribbean or African",498
E01000090,Mixed or Multiple ethnic groups,73
E01000090,White,657
E01000090,Other ethnic group,63
E01000091,Does not apply,0
E01000091,"Asian, Asian British or Asian Welsh",534
E01000091,"Black, Black British, Black Welsh, Caribbean or African",704
E01000091,Mixed or Multiple ethnic groups,123
E01000091,White,684
E01000091,Other ethnic group,46
E01000093,Does not apply,0
E01000093,"Asian, Asian British or Asian Welsh",397
E01000093,"Black, Black British, Black Welsh, Caribbean or African",563
E01000093,Mixed or Multiple ethnic groups,103
E01000093,White,683
E01000093,Other ethnic group,63
E01000094,Does not apply,0
E01000094,"Asian, Asian British or Asian Welsh",477
E01000094,"Black, Black British, Black Welsh, Caribbean or African",1062
E01000094,Mixed or Multiple ethnic groups,146
E01000094,White,691
E01000094,Other ethnic group,85
E01000095,Does not apply,0
E01000095,"Asian, Asian British or Asian Welsh",472
E01000095,"Black, Black British, Black Welsh, Caribbean or African",624
E01000095,Mixed or Multiple ethnic groups,109
E01000095,White,975
E01000095,Other ethnic group,70
E01000096,Does not apply,0
E01000096,"Asian, Asian British or Asian Welsh",309
E01000096,"Black, Black British, Black Welsh, Caribbean or African",651
E01000096,Mixed or Multiple ethnic groups,85
E01000096,White,545
E01000096,Other ethnic group,68
E01000097,Does not apply,0
E01000097,"Asian, Asian British or Asian Welsh",529
E01000097,"Black, Black British, Black Welsh, Caribbean or African",257
E01000097,Mixed or Multiple ethnic groups,79
E01000097,White,1010
E01000097,Other ethnic group,59
E01000098,Does not apply,0
E01000098,"Asian, Asian British or Asian Welsh",596
E01000098,"Black, Black British, Black Welsh, Caribbean or African",326
E01000098,Mixed or Multiple ethnic groups,80
E01000098,White,833
E01000098,Other ethnic group,98
E01000099,Does not apply,0
E01000099,"Asian, Asian British or Asian Welsh",786
E01000099,"Black, Black British, Black Welsh, Caribbean or African",464
E01000099,Mixed or Multiple ethnic groups,115
E01000099,White,1317
E01000099,Other ethnic group,96
E01000100,Does not apply,0
E01000100,"Asian, Asian British or Asian Welsh",450
E01000100,"Black, Black British, Black Welsh, Caribbean or African",275
E01000100,Mixed or Multiple ethnic groups,140
E01000100,White,1032
E01000100,Other ethnic group,43
E01000101,Does not apply,0
E01000101,"Asian, Asian British or Asian Welsh",345
E01000101,"Black, Black British, Black Welsh, Caribbean or African",309
E01000101,Mixed or Multiple ethnic groups,65
E01000101,White,909
E01000101,Other ethnic group,69
E01000102,Does not apply,0
E01000102,"Asian, Asian British or Asian Welsh",333
E01000102,"Black, Black British, Black Welsh, Caribbean or African",320
E01000102,Mixed or Multiple ethnic groups,73
E01000102,White,1006
E01000102,Other ethnic group,52
E01000103,Does not apply,0
E01000103,"Asian, Asian British or Asian Welsh",246
E01000103,"Black, Black British, Black Welsh, Caribbean or African",597
E01000103,Mixed or Multiple ethnic groups,82
E01000103,White,799
E01000103,Other ethnic group,50
E01000104,Does not apply,0
E01000104,"Asian, Asian British or Asian Welsh",235
E01000104,"Black, Black British, Black Welsh, Caribbean or African",621
E01000104,Mixed or Multiple ethnic groups,96
E01000104,White,913
E01000104,Other ethnic group,50
E01000105,Does not apply,0
E01000105,"Asian, Asian British or Asian Welsh",314
E01000105,"Black, Black British, Black Welsh, Caribbean or African",650
E01000105,Mixed or Multiple ethnic groups,122
E01000105,White,1199
E01000105,Other ethnic group,48
E01000106,Does not apply,0
E01000106,"Asian, Asian British or Asian Welsh",332
E01000106,"Black, Black British, Black Welsh, Caribbean or African",659
E01000106,Mixed or Multiple ethnic groups,101
E01000106,White,1047
E01000106,Other ethnic group,66
E01000107,Does not apply,0
E01000107,"Asian, Asian British or Asian Welsh",322
E01000107,"Black, Black British, Black Welsh, Caribbean or African",344
E01000107,Mixed or Multiple ethnic groups,66
E01000107,White,984
E01000107,Other ethnic group,69
E01000108,Does not apply,0
E01000108,"Asian, Asian British or Asian Welsh",417
E01000108,"Black, Black British, Black Welsh, Caribbean or African",374
E01000108,Mixed or Multiple ethnic groups,75
E01000108,White,973
E01000108,Other ethnic group,76
E01000110,Does not apply,0
E01000110,"Asian, Asian British or Asian Welsh",689
E01000110,"Black, Black British, Black Welsh, Caribbean or African",206
E01000110,Mixed or Multiple ethnic groups,45
E01000110,White,526
E01000110,Other ethnic group,107
E01000111,Does not apply,0
E01000111,"Asian, Asian British or Asian Welsh",495
E01000111,"Black, Black British, Black Welsh, Caribbean or African",367
E01000111,Mixed or Multiple ethnic groups,75
E01000111,White,1132
E01000111,Other ethnic group,84
E01000112,Does not apply,0
E01000112,"Asian, Asian British or Asian Welsh",694
