lsoa21cd,tov_count
E01035707,13
E01000948,13
E01000958,21
E01000967,19
E01000850,11
E01000858,19
E01000885,14
E01000909,27
E01000922,13
E01000973,30
E01000893,30
E01000928,24
E01035708,19
E01035710,5
E01000894,25
E01000871,24
E01000855,15
E01000914,25
E01000912,8
E01035711,5
E01000946,14
E01000899,19
E01000913,55
E01000996,21
E01000997,30
E01000999,15
E01001000,15
E01001001,38
E01001002,24
E01001004,21
E01001012,23
E01001144,25
E01001151,30
E01001179,13
E01034140,4
E01034141,9
E01034145,18
E01034147,0
E01034151,19
E01000982,12
E01000984,16
E01000987,12
E01000995,26
E01000998,26
E01001005,14
E01001052,15
E01001116,20
E01001131,10
E01001141,16
E01001182,18
E01034142,14
E01034148,22
E01000978,14
E01000980,28
E01000983,20
E01000990,19
E01000993,26
E01000994,20
E01001007,19
E01001066,14
E01001111,33
E01001130,7
E01001136,20
E01001139,18
E01001148,34
E01001153,36
E01001158,18
E01001161,35
E01001164,22
E01001185,11
E01001187,23
E01001193,13
E01034143,2
E01000977,22
E01000981,25
E01001040,21
E01001088,34
E01001146,24
E01001149,16
E01001155,26
E01001163,32
E01001175,29
E01034139,24
E01034152,32
E01000976,35
E01001003,17
E01001011,25
E01001025,9
E01001035,5
E01001037,12
E01001046,15
E01001047,12
E01001054,18
E01001056,14
E01001147,17
E01001152,22
E01001181,25
E01001189,12
E01000989,30
E01001057,18
E01001059,11
E01001086,31
E01001090,40
E01001100,12
E01001154,30
E01001160,43
E01001165,15
E01001183,39
E01001184,19
E01001191,30
E01001192,33
E01034150,23
E01001034,14
E01001042,26
E01001077,16
E01001110,27
E01001126,8
E01000986,27
E01001006,31
E01001009,25
E01001026,11
E01001127,11
E01001145,23
E01001170,11
E01001177,43
E01000979,19
E01001050,11
E01001051,15
E01001089,35
E01001091,32
E01001114,18
E01001118,18
E01001133,16
E01001140,21
E01001166,18
E01001168,15
E01001174,14
E01001178,31
E01001180,29
E01001190,16
E01001041,22
E01001053,13
E01001085,23
E01001128,15
E01001143,18
E01001188,16
E01032569,27
E01001013,44
E01001030,25
E01001033,19
E01001099,10
E01001113,39
E01001142,26
E01000975,20
E01001024,17
E01001044,17
E01001058,4
E01001063,15
E01001109,30
E01001112,16
E01001162,13
E01001186,19
E01034144,24
E01001125,18
E01001150,33
E01034146,38
E01001029,16
E01001055,14
E01001073,11
E01001083,13
E01001084,24
E01001115,22
E01001120,10
E01001124,8
E01001129,12
E01001138,15
E01001156,16
E01001169,13
E01001008,26
E01001078,15
E01001080,11
E01001096,13
E01034149,29
E01000985,14
E01001039,4
E01001095,17
E01001106,6
E01001134,18
E01001176,36
E01001032,20
E01001079,15
E01001119,7
E01001172,42
E01001031,19
E01001038,12
E01001076,14
E01001087,68
E01001171,17
E01000992,22
E01001023,27
E01001132,19
E01001135,22
E01001137,26
E01000991,19
E01001020,5
E01001069,11
E01001074,10
E01001098,12
E01001101,16
E01001157,38
E01001194,13
E01001075,7
E01001092,22
E01001108,14
E01001036,14
E01001071,12
E01001082,18
E01001093,8
E01001159,26
E01001167,47
E01001019,11
E01001022,7
E01001028,21
E01001081,11
E01001097,26
E01001015,18
E01001016,17
E01001049,23
E01001061,22
E01001062,24
E01001070,12
E01001102,12
E01001105,10
E01001123,16
E01001173,16
E01001010,79
E01001018,7
E01001067,12
E01001068,9
E01001094,19
E01001107,8
E01001122,14
E01001017,7
E01001103,9
E01001021,2
E01001027,12
E01001065,10
E01001104,9
E01001060,8
E01001072,7
E01001121,5
E01001064,15
E01001199,8
E01001203,27
E01001245,23
E01001287,13
E01001319,12
E01001332,20
E01001383,8
E01032743,13
E01034026,8
E01034029,6
E01034031,1
E01001200,30
E01001207,22
E01001216,9
E01001219,14
E01001223,13
E01001230,18
E01001249,17
E01001288,9
E01001292,15
E01001293,16
E01001303,9
E01001304,14
E01001315,9
E01001340,12
E01001346,13
E01001352,15
E01001355,14
E01001356,4
E01001363,12
E01001364,6
E01001366,22
E01001369,15
E01001372,13
E01001373,5
E01001379,18
E01001380,29
E01001198,18
E01001206,21
E01001211,14
E01001215,13
E01001233,11
E01001236,14
E01001251,13
E01001255,7
E01001305,14
E01001334,12
E01001374,19
E01001376,16
E01001385,24
E01001331,15
E01001295,20
E01034028,12
E01001201,23
E01001202,27
E01001204,16
E01001217,8
E01001224,12
E01001229,6
E01001232,7
E01001242,9
E01001243,24
E01001257,16
E01001279,27
E01001296,12
