Lower layer Super Output Areas Code,Residents Population Density (per square kilometre)
E01000830 ,"2,737.1"
E01000831 ,"4,195.2"
E01000833 ,"4,031.8"
E01000650 ,"2,037.5"
E01000652 ,"2,962.8"
E01000807 ,"2,079.7"
E01000809 ,"2,840.8"
E01000722 ,"3,201.7"
E01000725 ,"5,152.9"
E01000731 ,"5,909.3"
E01000732 ,"4,276.0"
E01000733 ,"4,468.8"
E01000769 ,"1,156.2"
E01000773 ,"5,112.8"
E01000775 ,"2,058.4"
E01000777 ,"6,550.2"
E01000778 ,"7,877.9"
E01000808 ,"4,677.9"
E01000810 ,"4,141.8"
E01000811 ,"4,578.0"
E01000813 ,"2,565.7"
E01000815 ,"3,096.2"
E01000661 ,"3,003.2"
E01000662 ,"3,443.5"
E01000663 ,"5,264.6"
E01000664 ,"2,099.2"
E01000763 ,"1,744.5"
E01000764 ,"3,589.5"
E01000766 ,"4,914.7"
E01000767 ,"5,156.5"
E01000834 ,"6,494.3"
E01000727 ,"4,395.3"
E01000734 ,"4,286.6"
E01000790 ,"4,413.1"
E01000812 ,"4,297.0"
E01000814 ,"3,186.7"
E01000723 ,"2,925.5"
E01000726 ,"4,622.5"
E01000787 ,"4,343.5"
E01000788 ,"4,379.7"
E01000791 ,"3,766.8"
E01000832 ,"1,816.0"
E01000835 ,"5,277.9"
E01000836 ,"6,519.5"
E01000837 ,"3,270.7"
E01000838 ,"2,650.0"
E01000839 ,"5,054.5"
E01000840 ,"1,870.1"
E01000841 ,"4,972.2"
E01000753 ,"2,222.1"
E01000754 ,"4,566.6"
E01000755 ,"4,779.9"
E01000757 ,"2,894.8"
E01000758 ,"4,780.9"
E01000786 ,"1,539.8"
E01000789 ,"13,070.5"
E01000792 ,"4,778.3"
E01000793 ,"3,345.5"
E01000795 ,"4,846.0"
E01000665 ,"2,229.8"
E01000666 ,634.1
E01000667 ,"1,569.5"
E01000756 ,"1,685.6"
E01000759 ,357.8
E01000760 ,"3,225.1"
E01000761 ,"2,679.5"
E01000765 ,778.5
E01000768 ,"3,109.1"
E01000681 ,"5,587.4"
E01000682 ,"5,767.2"
E01000683 ,"6,547.6"
E01000684 ,"5,202.7"
E01000794 ,"3,329.0"
E01000749 ,178.9
E01000750 ,"4,683.2"
E01000751 ,"1,232.2"
E01000752 ,"1,262.6"
E01000680 ,199.1
E01000685 ,"1,464.6"
E01000686 ,"3,386.2"
E01000687 ,"2,672.0"
E01000688 ,"1,508.9"
E01000654 ,"1,225.6"
E01000655 ,"3,489.2"
E01000656 ,442.9
E01000657 ,"5,113.8"
E01000659 ,"2,875.1"
E01000816 ,"5,033.0"
E01000818 ,"1,294.9"
E01000819 ,"4,738.7"
E01032562 ,"7,023.0"
E01032563 ,"3,868.7"
E01000707 ,"9,805.1"
E01000708 ,"7,032.9"
E01000771 ,"4,527.2"
E01000774 ,"3,971.5"
E01032568 ,"4,147.4"
E01000658 ,614.0
E01000747 ,204.1
E01000748 ,170.8
E01032570 ,"3,815.4"
E01000907 ,"13,834.0"
E01000908 ,"8,702.9"
E01000909 ,"6,776.0"
E01000912 ,"1,771.2"
E01000913 ,991.3
E01000893 ,"2,608.9"
E01000894 ,"5,727.8"
E01000895 ,"15,820.6"
E01000896 ,"9,516.9"
E01000899 ,"1,441.2"
E01000910 ,"10,291.9"
E01000911 ,"16,322.4"
E01000921 ,"15,072.3"
E01000923 ,"16,943.8"
E01000928 ,"6,784.2"
E01000878 ,"8,922.4"
E01000879 ,"7,332.2"
E01000880 ,"6,931.8"
E01000884 ,"6,001.6"
E01000885 ,"4,205.0"
E01000871 ,"5,411.5"
E01000872 ,"11,836.7"
E01000873 ,"12,967.2"
E01000874 ,"17,309.9"
E01000877 ,"13,194.6"
E01000886 ,"12,887.6"
E01000887 ,"13,903.9"
E01000888 ,"15,671.6"
E01000892 ,"14,596.6"
E01000903 ,"13,846.9"
E01000889 ,"15,089.5"
E01000890 ,"17,260.8"
E01000891 ,"19,136.6"
E01000901 ,"18,629.5"
E01000922 ,"10,047.1"
E01000927 ,"15,258.4"
E01000881 ,"9,384.3"
E01000882 ,"11,911.4"
E01000883 ,"10,733.1"
E01000897 ,"7,878.8"
E01000898 ,"9,302.1"
E01000866 ,"13,402.1"
E01000870 ,"12,636.1"
E01000924 ,"15,961.3"
