lsoa21cd,tfv_count
E01001246,81
E01001266,84
E01001272,34
E01001348,129
E01001208,24
E01001241,71
E01001267,29
E01001284,29
E01001322,70
E01001349,41
E01001344,75
E01001277,90
E01001308,21
E01001347,186
E01001325,32
E01001326,29
E01001338,51
E01001339,20
E01001247,498
E01001220,26
E01001337,42
E01001424,17
E01001442,42
E01001460,39
E01001462,37
E01001562,31
E01001557,41
E01001554,47
E01001515,26
E01001495,29
E01001467,13
E01001466,20
E01033146,29
E01001391,31
E01001430,37
E01001448,28
E01001459,29
E01001464,36
E01001476,24
E01001482,23
E01001487,34
E01001503,43
E01001517,35
E01001522,20
E01001555,87
E01001497,21
E01001566,19
E01001541,35
E01001514,22
E01001509,31
E01001508,48
E01001492,61
E01001491,54
E01001488,38
E01001479,40
E01001447,39
E01001446,30
E01001435,21
E01001396,34
E01001401,16
E01001428,42
E01001431,46
E01001432,47
E01001458,22
E01001485,68
E01001486,57
E01001512,58
E01001530,18
E01001537,39
E01001542,25
E01001547,41
E01001558,98
E01001408,28
E01001480,27
E01001489,57
E01001493,34
E01001494,29
E01001529,42
E01001567,20
E01001565,31
E01001550,21
E01001540,51
E01001505,22
E01001504,29
E01001502,37
E01001475,16
E01001461,29
E01001455,40
E01001441,63
E01001436,32
E01001423,39
E01001392,27
E01001409,46
E01001410,31
E01001434,19
E01001438,37
E01001444,36
E01001449,13
E01001456,17
E01001472,35
E01001539,23
E01001546,27
E01001393,18
E01001398,39
E01001411,35
E01001481,20
E01001528,50
E01001551,52
E01001564,37
E01032574,210
E01001390,15
E01001394,35
E01001426,53
E01001457,40
E01001469,26
E01001525,26
E01001552,39
E01001570,35
E01001402,42
E01001405,34
E01001414,19
E01001416,19
E01001429,110
E01001498,53
E01001524,23
E01001526,17
E01001538,36
E01001556,29
E01001560,27
E01001563,63
E01033150,22
E01033928,17
E01001395,20
E01001397,35
E01001421,17
E01001440,19
E01001465,28
E01001500,75
E01001544,30
E01001406,43
E01001425,64
E01001463,27
E01001499,34
E01001501,100
E01001516,47
E01001543,19
E01001399,35
E01001420,27
E01001433,32
E01001496,34
E01001507,69
E01001531,21
E01001548,36
E01001553,25
E01001478,19
E01001484,53
E01001511,78
E01001533,29
E01001534,53
E01001549,39
E01001418,18
E01001439,51
E01001536,55
E01001545,23
E01001400,40
E01001404,26
E01001403,42
E01001468,21
E01001569,39
E01033927,48
E01001520,21
E01001450,57
E01001471,22
E01001413,34
E01001454,30
E01001474,34
E01001532,57
E01001535,38
E01033148,18
E01001452,23
E01001559,356
E01001523,27
E01001521,22
E01001527,37
E01001568,33
E01001419,29
E01001451,24
E01001453,15
E01001483,48
E01001518,76
E01001422,19
E01001473,9
E01001513,140
E01033151,50
E01001415,71
E01001445,156
E01001427,282
E01001477,30
E01033926,77
E01001407,30
E01001470,42
E01001437,65
E01001417,31
E01001412,80
E01001704,30
E01001695,25
E01001692,20
E01001636,24
E01001573,22
E01034178,11
E01034180,11
E01034181,33
E01034184,3
E01034186,5
E01034191,10
E01034194,3
E01034195,1
E01001590,24
E01001631,41
E01001632,28
E01001638,12
E01001683,28
E01001690,18
E01001696,38
E01001698,31
E01001702,10
E01001710,10
E01033727,23
E01033728,12
E01033732,8
E01033744,25
E01034179,31
E01034187,31
E01001693,17
E01001664,26
E01001624,21
