Lower layer Super Output Areas Code,Tenure of household (7 categories),Observation
E01000054,Private rented: Private landlord or letting agency,108
E01000054,Private rented: Other private rented or lives rent free,14
E01000055,Does not apply,0
E01000055,Owned: Owns outright,89
E01000055,Owned: Owns with a mortgage or loan or shared ownership,166
E01000055,Social rented: Rents from council or Local Authority,178
E01000055,Social rented: Other social rented,28
E01000055,Private rented: Private landlord or letting agency,96
E01000055,Private rented: Other private rented or lives rent free,11
E01000056,Does not apply,0
E01000056,Owned: Owns outright,61
E01000056,Owned: Owns with a mortgage or loan or shared ownership,156
E01000056,Social rented: Rents from council or Local Authority,133
E01000056,Social rented: Other social rented,121
E01000056,Private rented: Private landlord or letting agency,79
E01000056,Private rented: Other private rented or lives rent free,13
E01000057,Does not apply,0
E01000057,Owned: Owns outright,68
E01000057,Owned: Owns with a mortgage or loan or shared ownership,139
E01000057,Social rented: Rents from council or Local Authority,169
E01000057,Social rented: Other social rented,43
E01000057,Private rented: Private landlord or letting agency,98
E01000057,Private rented: Other private rented or lives rent free,13
E01000058,Does not apply,0
E01000058,Owned: Owns outright,79
E01000058,Owned: Owns with a mortgage or loan or shared ownership,211
E01000058,Social rented: Rents from council or Local Authority,176
E01000058,Social rented: Other social rented,39
E01000058,Private rented: Private landlord or letting agency,183
E01000058,Private rented: Other private rented or lives rent free,10
E01000059,Does not apply,0
E01000059,Owned: Owns outright,99
E01000059,Owned: Owns with a mortgage or loan or shared ownership,175
E01000059,Social rented: Rents from council or Local Authority,168
E01000059,Social rented: Other social rented,30
E01000059,Private rented: Private landlord or letting agency,92
E01000059,Private rented: Other private rented or lives rent free,6
E01000060,Does not apply,0
E01000060,Owned: Owns outright,116
E01000060,Owned: Owns with a mortgage or loan or shared ownership,206
E01000060,Social rented: Rents from council or Local Authority,315
E01000060,Social rented: Other social rented,35
E01000060,Private rented: Private landlord or letting agency,130
E01000060,Private rented: Other private rented or lives rent free,9
E01000061,Does not apply,0
E01000061,Owned: Owns outright,22
E01000061,Owned: Owns with a mortgage or loan or shared ownership,176
E01000061,Social rented: Rents from council or Local Authority,490
E01000061,Social rented: Other social rented,15
E01000061,Private rented: Private landlord or letting agency,38
E01000061,Private rented: Other private rented or lives rent free,11
E01000062,Does not apply,0
E01000062,Owned: Owns outright,152
E01000062,Owned: Owns with a mortgage or loan or shared ownership,252
E01000062,Social rented: Rents from council or Local Authority,197
E01000062,Social rented: Other social rented,19
E01000062,Private rented: Private landlord or letting agency,137
E01000062,Private rented: Other private rented or lives rent free,10
E01000063,Does not apply,0
E01000063,Owned: Owns outright,105
E01000063,Owned: Owns with a mortgage or loan or shared ownership,209
E01000063,Social rented: Rents from council or Local Authority,183
E01000063,Social rented: Other social rented,16
E01000063,Private rented: Private landlord or letting agency,101
E01000063,Private rented: Other private rented or lives rent free,13
E01000064,Does not apply,0
E01000064,Owned: Owns outright,101
E01000064,Owned: Owns with a mortgage or loan or shared ownership,275
E01000064,Social rented: Rents from council or Local Authority,166
E01000064,Social rented: Other social rented,44
E01000064,Private rented: Private landlord or letting agency,189
E01000064,Private rented: Other private rented or lives rent free,19
E01000065,Does not apply,0
E01000065,Owned: Owns outright,106
E01000065,Owned: Owns with a mortgage or loan or shared ownership,173
E01000065,Social rented: Rents from council or Local Authority,321
E01000065,Social rented: Other social rented,36
E01000065,Private rented: Private landlord or letting agency,128
E01000065,Private rented: Other private rented or lives rent free,17
E01000066,Does not apply,0
E01000066,Owned: Owns outright,160
E01000066,Owned: Owns with a mortgage or loan or shared ownership,277
E01000066,Social rented: Rents from council or Local Authority,149
