Lower layer Super Output Areas Code,Tenure of household (7 categories),Observation
E01004579,Private rented: Other private rented or lives rent free,19
E01004580,Does not apply,0
E01004580,Owned: Owns outright,133
E01004580,Owned: Owns with a mortgage or loan or shared ownership,238
E01004580,Social rented: Rents from council or Local Authority,109
E01004580,Social rented: Other social rented,30
E01004580,Private rented: Private landlord or letting agency,359
E01004580,Private rented: Other private rented or lives rent free,26
E01004581,Does not apply,0
E01004581,Owned: Owns outright,160
E01004581,Owned: Owns with a mortgage or loan or shared ownership,167
E01004581,Social rented: Rents from council or Local Authority,110
E01004581,Social rented: Other social rented,55
E01004581,Private rented: Private landlord or letting agency,316
E01004581,Private rented: Other private rented or lives rent free,30
E01004582,Does not apply,0
E01004582,Owned: Owns outright,352
E01004582,Owned: Owns with a mortgage or loan or shared ownership,175
E01004582,Social rented: Rents from council or Local Authority,76
E01004582,Social rented: Other social rented,11
E01004582,Private rented: Private landlord or letting agency,335
E01004582,Private rented: Other private rented or lives rent free,32
E01004583,Does not apply,0
E01004583,Owned: Owns outright,221
E01004583,Owned: Owns with a mortgage or loan or shared ownership,168
E01004583,Social rented: Rents from council or Local Authority,116
E01004583,Social rented: Other social rented,28
E01004583,Private rented: Private landlord or letting agency,229
E01004583,Private rented: Other private rented or lives rent free,52
E01004584,Does not apply,0
E01004584,Owned: Owns outright,58
E01004584,Owned: Owns with a mortgage or loan or shared ownership,53
E01004584,Social rented: Rents from council or Local Authority,482
E01004584,Social rented: Other social rented,8
E01004584,Private rented: Private landlord or letting agency,103
E01004584,Private rented: Other private rented or lives rent free,11
E01004585,Does not apply,0
E01004585,Owned: Owns outright,164
E01004585,Owned: Owns with a mortgage or loan or shared ownership,188
E01004585,Social rented: Rents from council or Local Authority,33
E01004585,Social rented: Other social rented,120
E01004585,Private rented: Private landlord or letting agency,293
E01004585,Private rented: Other private rented or lives rent free,24
E01004586,Does not apply,0
E01004586,Owned: Owns outright,139
E01004586,Owned: Owns with a mortgage or loan or shared ownership,234
E01004586,Social rented: Rents from council or Local Authority,14
E01004586,Social rented: Other social rented,98
E01004586,Private rented: Private landlord or letting agency,332
E01004586,Private rented: Other private rented or lives rent free,33
E01004587,Does not apply,0
E01004587,Owned: Owns outright,139
E01004587,Owned: Owns with a mortgage or loan or shared ownership,238
E01004587,Social rented: Rents from council or Local Authority,14
E01004587,Social rented: Other social rented,54
E01004587,Private rented: Private landlord or letting agency,231
E01004587,Private rented: Other private rented or lives rent free,21
E01004588,Does not apply,0
E01004588,Owned: Owns outright,205
E01004588,Owned: Owns with a mortgage or loan or shared ownership,222
E01004588,Social rented: Rents from council or Local Authority,7
E01004588,Social rented: Other social rented,38
E01004588,Private rented: Private landlord or letting agency,378
E01004588,Private rented: Other private rented or lives rent free,31
E01004589,Does not apply,0
E01004589,Owned: Owns outright,123
E01004589,Owned: Owns with a mortgage or loan or shared ownership,227
E01004589,Social rented: Rents from council or Local Authority,15
E01004589,Social rented: Other social rented,40
E01004589,Private rented: Private landlord or letting agency,307
E01004589,Private rented: Other private rented or lives rent free,19
E01004590,Does not apply,0
E01004590,Owned: Owns outright,127
E01004590,Owned: Owns with a mortgage or loan or shared ownership,134
E01004590,Social rented: Rents from council or Local Authority,185
E01004590,Social rented: Other social rented,170
E01004590,Private rented: Private landlord or letting agency,185
E01004590,Private rented: Other private rented or lives rent free,14
E01004591,Does not apply,0
E01004591,Owned: Owns outright,103
E01004591,Owned: Owns with a mortgage or loan or shared ownership,172
E01004591,Social rented: Rents from council or Local Authority,122
E01004591,Social rented: Other social rented,127
E01004591,Private rented: Private landlord or letting agency,307
E01004591,Private rented: Other private rented or lives rent free,27
E01004592,Does not apply,0
E01004592,Owned: Owns outright,82
E01004592,Owned: Owns with a mortgage or loan or shared ownership,134
E01004592,Social rented: Rents from council or Local Authority,33
E01004592,Social rented: Other social rented,364
E01004592,Private rented: Private landlord or letting agency,152
E01004592,Private rented: Other private rented or lives rent free,13
E01004593,Does not apply,0
E01004593,Owned: Owns outright,171
E01004593,Owned: Owns with a mortgage or loan or shared ownership,254
E01004593,Social rented: Rents from council or Local Authority,18
E01004593,Social rented: Other social rented,38
E01004593,Private rented: Private landlord or letting agency,335
E01004593,Private rented: Other private rented or lives rent free,20
E01004594,Does not apply,0
E01004594,Owned: Owns outright,211
E01004594,Owned: Owns with a mortgage or loan or shared ownership,238
E01004594,Social rented: Rents from council or Local Authority,3
E01004594,Social rented: Other social rented,5
E01004594,Private rented: Private landlord or letting agency,160
E01004594,Private rented: Other private rented or lives rent free,11
E01004595,Does not apply,0
E01004595,Owned: Owns outright,155
E01004595,Owned: Owns with a mortgage or loan or shared ownership,273
E01004595,Social rented: Rents from council or Local Authority,40
E01004595,Social rented: Other social rented,12
E01004595,Private rented: Private landlord or letting agency,300
E01004595,Private rented: Other private rented or lives rent free,13
E01004596,Does not apply,0
E01004596,Owned: Owns outright,180
E01004596,Owned: Owns with a mortgage or loan or shared ownership,230
E01004596,Social rented: Rents from council or Local Authority,11
E01004596,Social rented: Other social rented,6
E01004596,Private rented: Private landlord or letting agency,200
E01004596,Private rented: Other private rented or lives rent free,16
E01004597,Does not apply,0
E01004597,Owned: Owns outright,159
E01004597,Owned: Owns with a mortgage or loan or shared ownership,272
E01004597,Social rented: Rents from council or Local Authority,31
E01004597,Social rented: Other social rented,105
E01004597,Private rented: Private landlord or letting agency,190
E01004597,Private rented: Other private rented or lives rent free,10
E01004598,Does not apply,0
E01004598,Owned: Owns outright,126
E01004598,Owned: Owns with a mortgage or loan or shared ownership,404
E01004598,Social rented: Rents from council or Local Authority,32
E01004598,Social rented: Other social rented,41
E01004598,Private rented: Private landlord or letting agency,340
E01004598,Private rented: Other private rented or lives rent free,13
E01004599,Does not apply,0
E01004599,Owned: Owns outright,165
E01004599,Owned: Owns with a mortgage or loan or shared ownership,270
E01004599,Social rented: Rents from council or Local Authority,14
E01004599,Social rented: Other social rented,8
E01004599,Private rented: Private landlord or letting agency,102
E01004599,Private rented: Other private rented or lives rent free,8
E01004601,Does not apply,0
E01004601,Owned: Owns outright,156
E01004601,Owned: Owns with a mortgage or loan or shared ownership,378
E01004601,Social rented: Rents from council or Local Authority,87
E01004601,Social rented: Other social rented,79
E01004601,Private rented: Private landlord or letting agency,377
E01004601,Private rented: Other private rented or lives rent free,17
E01004602,Does not apply,0
E01004602,Owned: Owns outright,189
E01004602,Owned: Owns with a mortgage or loan or shared ownership,185
E01004602,Social rented: Rents from council or Local Authority,12
E01004602,Social rented: Other social rented,21
E01004602,Private rented: Private landlord or letting agency,285
E01004602,Private rented: Other private rented or lives rent free,22
E01004604,Does not apply,0
E01004604,Owned: Owns outright,225
E01004604,Owned: Owns with a mortgage or loan or shared ownership,227
E01004604,Social rented: Rents from council or Local Authority,10
E01004604,Social rented: Other social rented,7
E01004604,Private rented: Private landlord or letting agency,113
E01004604,Private rented: Other private rented or lives rent free,9
E01004605,Does not apply,0
E01004605,Owned: Owns outright,245
E01004605,Owned: Owns with a mortgage or loan or shared ownership,221
E01004605,Social rented: Rents from council or Local Authority,114
E01004605,Social rented: Other social rented,28
E01004605,Private rented: Private landlord or letting agency,183
E01004605,Private rented: Other private rented or lives rent free,13
E01004606,Does not apply,0
E01004606,Owned: Owns outright,148
E01004606,Owned: Owns with a mortgage or loan or shared ownership,248
E01004606,Social rented: Rents from council or Local Authority,2
E01004606,Social rented: Other social rented,7
E01004606,Private rented: Private landlord or letting agency,328
E01004606,Private rented: Other private rented or lives rent free,17
E01004607,Does not apply,0
E01004607,Owned: Owns outright,208
E01004607,Owned: Owns with a mortgage or loan or shared ownership,215
E01004607,Social rented: Rents from council or Local Authority,19
E01004607,Social rented: Other social rented,13
E01004607,Private rented: Private landlord or letting agency,220
E01004607,Private rented: Other private rented or lives rent free,12
E01004608,Does not apply,0
E01004608,Owned: Owns outright,141
E01004608,Owned: Owns with a mortgage or loan or shared ownership,156
E01004608,Social rented: Rents from council or Local Authority,96
E01004608,Social rented: Other social rented,68
E01004608,Private rented: Private landlord or letting agency,301
E01004608,Private rented: Other private rented or lives rent free,22
E01004609,Does not apply,0
E01004609,Owned: Owns outright,188
E01004609,Owned: Owns with a mortgage or loan or shared ownership,231
E01004609,Social rented: Rents from council or Local Authority,22
E01004609,Social rented: Other social rented,36
E01004609,Private rented: Private landlord or letting agency,499
E01004609,Private rented: Other private rented or lives rent free,37
E01004610,Does not apply,0
E01004610,Owned: Owns outright,206
E01004610,Owned: Owns with a mortgage or loan or shared ownership,176
E01004610,Social rented: Rents from council or Local Authority,24
E01004610,Social rented: Other social rented,26
E01004610,Private rented: Private landlord or letting agency,262
E01004610,Private rented: Other private rented or lives rent free,22
E01004611,Does not apply,0
E01004611,Owned: Owns outright,151
E01004611,Owned: Owns with a mortgage or loan or shared ownership,166
E01004611,Social rented: Rents from council or Local Authority,35
E01004611,Social rented: Other social rented,17
E01004611,Private rented: Private landlord or letting agency,177
E01004611,Private rented: Other private rented or lives rent free,7
E01004612,Does not apply,0
E01004612,Owned: Owns outright,124
E01004612,Owned: Owns with a mortgage or loan or shared ownership,106
E01004612,Social rented: Rents from council or Local Authority,45
E01004612,Social rented: Other social rented,14
E01004612,Private rented: Private landlord or letting agency,239
E01004612,Private rented: Other private rented or lives rent free,14
E01004613,Does not apply,0
E01004613,Owned: Owns outright,87
E01004613,Owned: Owns with a mortgage or loan or shared ownership,95
E01004613,Social rented: Rents from council or Local Authority,165
E01004613,Social rented: Other social rented,45
E01004613,Private rented: Private landlord or letting agency,288
E01004613,Private rented: Other private rented or lives rent free,17
E01004614,Does not apply,0
E01004614,Owned: Owns outright,107
E01004614,Owned: Owns with a mortgage or loan or shared ownership,233
E01004614,Social rented: Rents from council or Local Authority,45
E01004614,Social rented: Other social rented,113
E01004614,Private rented: Private landlord or letting agency,316
E01004614,Private rented: Other private rented or lives rent free,23
E01004615,Does not apply,0
E01004615,Owned: Owns outright,81
E01004615,Owned: Owns with a mortgage or loan or shared ownership,115
E01004615,Social rented: Rents from council or Local Authority,282
E01004615,Social rented: Other social rented,19
E01004615,Private rented: Private landlord or letting agency,195
E01004615,Private rented: Other private rented or lives rent free,14
E01004616,Does not apply,0
E01004616,Owned: Owns outright,94
E01004616,Owned: Owns with a mortgage or loan or shared ownership,135
E01004616,Social rented: Rents from council or Local Authority,16
E01004616,Social rented: Other social rented,46
E01004616,Private rented: Private landlord or letting agency,450
E01004616,Private rented: Other private rented or lives rent free,25
E01004617,Does not apply,0
E01004617,Owned: Owns outright,81
E01004617,Owned: Owns with a mortgage or loan or shared ownership,123
E01004617,Social rented: Rents from council or Local Authority,75
E01004617,Social rented: Other social rented,56
E01004617,Private rented: Private landlord or letting agency,368
E01004617,Private rented: Other private rented or lives rent free,24
E01004618,Does not apply,0
E01004618,Owned: Owns outright,181
E01004618,Owned: Owns with a mortgage or loan or shared ownership,188
E01004618,Social rented: Rents from council or Local Authority,4
E01004618,Social rented: Other social rented,10
E01004618,Private rented: Private landlord or letting agency,134
E01004618,Private rented: Other private rented or lives rent free,13
E01004619,Does not apply,0
E01004619,Owned: Owns outright,132
E01004619,Owned: Owns with a mortgage or loan or shared ownership,190
E01004619,Social rented: Rents from council or Local Authority,7
E01004619,Social rented: Other social rented,65
E01004619,Private rented: Private landlord or letting agency,99
E01004619,Private rented: Other private rented or lives rent free,9
E01004620,Does not apply,0
E01004620,Owned: Owns outright,117
E01004620,Owned: Owns with a mortgage or loan or shared ownership,241
E01004620,Social rented: Rents from council or Local Authority,15
E01004620,Social rented: Other social rented,81
E01004620,Private rented: Private landlord or letting agency,214
E01004620,Private rented: Other private rented or lives rent free,12
E01004621,Does not apply,0
E01004621,Owned: Owns outright,145
E01004621,Owned: Owns with a mortgage or loan or shared ownership,253
E01004621,Social rented: Rents from council or Local Authority,39
E01004621,Social rented: Other social rented,44
E01004621,Private rented: Private landlord or letting agency,201
E01004621,Private rented: Other private rented or lives rent free,12
E01004622,Does not apply,0
E01004622,Owned: Owns outright,77
E01004622,Owned: Owns with a mortgage or loan or shared ownership,135
E01004622,Social rented: Rents from council or Local Authority,75
E01004622,Social rented: Other social rented,43
E01004622,Private rented: Private landlord or letting agency,169
E01004622,Private rented: Other private rented or lives rent free,19
E01004623,Does not apply,0
E01004623,Owned: Owns outright,139
E01004623,Owned: Owns with a mortgage or loan or shared ownership,277
E01004623,Social rented: Rents from council or Local Authority,29
E01004623,Social rented: Other social rented,45
E01004623,Private rented: Private landlord or letting agency,201
E01004623,Private rented: Other private rented or lives rent free,13
E01004624,Does not apply,0
E01004624,Owned: Owns outright,121
E01004624,Owned: Owns with a mortgage or loan or shared ownership,230
E01004624,Social rented: Rents from council or Local Authority,68
E01004624,Social rented: Other social rented,33
E01004624,Private rented: Private landlord or letting agency,142
E01004624,Private rented: Other private rented or lives rent free,15
E01004625,Does not apply,0
E01004625,Owned: Owns outright,206
E01004625,Owned: Owns with a mortgage or loan or shared ownership,216
E01004625,Social rented: Rents from council or Local Authority,1
E01004625,Social rented: Other social rented,8
E01004625,Private rented: Private landlord or letting agency,37
E01004625,Private rented: Other private rented or lives rent free,7
E01004626,Does not apply,0
E01004626,Owned: Owns outright,198
E01004626,Owned: Owns with a mortgage or loan or shared ownership,313
E01004626,Social rented: Rents from council or Local Authority,10
E01004626,Social rented: Other social rented,18
E01004626,Private rented: Private landlord or letting agency,196
E01004626,Private rented: Other private rented or lives rent free,29
E01004627,Does not apply,0
E01004627,Owned: Owns outright,113
E01004627,Owned: Owns with a mortgage or loan or shared ownership,221
E01004627,Social rented: Rents from council or Local Authority,35
E01004627,Social rented: Other social rented,75
E01004627,Private rented: Private landlord or letting agency,150
E01004627,Private rented: Other private rented or lives rent free,12
E01004628,Does not apply,0
E01004628,Owned: Owns outright,147
E01004628,Owned: Owns with a mortgage or loan or shared ownership,238
E01004628,Social rented: Rents from council or Local Authority,110
E01004628,Social rented: Other social rented,86
E01004628,Private rented: Private landlord or letting agency,276
E01004628,Private rented: Other private rented or lives rent free,33
E01004629,Does not apply,0
E01004629,Owned: Owns outright,192
E01004629,Owned: Owns with a mortgage or loan or shared ownership,192
E01004629,Social rented: Rents from council or Local Authority,54
E01004629,Social rented: Other social rented,9
E01004629,Private rented: Private landlord or letting agency,141
E01004629,Private rented: Other private rented or lives rent free,14
E01004630,Does not apply,0
E01004630,Owned: Owns outright,66
E01004630,Owned: Owns with a mortgage or loan or shared ownership,92
E01004630,Social rented: Rents from council or Local Authority,332
E01004630,Social rented: Other social rented,20
E01004630,Private rented: Private landlord or letting agency,141
E01004630,Private rented: Other private rented or lives rent free,8
E01004631,Does not apply,0
E01004631,Owned: Owns outright,99
E01004631,Owned: Owns with a mortgage or loan or shared ownership,154
E01004631,Social rented: Rents from council or Local Authority,125
E01004631,Social rented: Other social rented,19
E01004631,Private rented: Private landlord or letting agency,321
E01004631,Private rented: Other private rented or lives rent free,20
E01004632,Does not apply,0
E01004632,Owned: Owns outright,147
E01004632,Owned: Owns with a mortgage or loan or shared ownership,162
E01004632,Social rented: Rents from council or Local Authority,58
E01004632,Social rented: Other social rented,12
E01004632,Private rented: Private landlord or letting agency,178
E01004632,Private rented: Other private rented or lives rent free,15
E01004633,Does not apply,0
E01004633,Owned: Owns outright,49
E01004633,Owned: Owns with a mortgage or loan or shared ownership,85
E01004633,Social rented: Rents from council or Local Authority,282
E01004633,Social rented: Other social rented,8
E01004633,Private rented: Private landlord or letting agency,163
E01004633,Private rented: Other private rented or lives rent free,14
E01004634,Does not apply,0
E01004634,Owned: Owns outright,135
E01004634,Owned: Owns with a mortgage or loan or shared ownership,178
E01004634,Social rented: Rents from council or Local Authority,120
E01004634,Social rented: Other social rented,4
E01004634,Private rented: Private landlord or letting agency,222
E01004634,Private rented: Other private rented or lives rent free,19
E01004635,Does not apply,0
E01004635,Owned: Owns outright,156
E01004635,Owned: Owns with a mortgage or loan or shared ownership,156
E01004635,Social rented: Rents from council or Local Authority,77
E01004635,Social rented: Other social rented,7
E01004635,Private rented: Private landlord or letting agency,262
E01004635,Private rented: Other private rented or lives rent free,10
E01004636,Does not apply,0
E01004636,Owned: Owns outright,125
E01004636,Owned: Owns with a mortgage or loan or shared ownership,140
E01004636,Social rented: Rents from council or Local Authority,94
E01004636,Social rented: Other social rented,13
E01004636,Private rented: Private landlord or letting agency,229
E01004636,Private rented: Other private rented or lives rent free,18
E01004637,Does not apply,0
E01004637,Owned: Owns outright,105
E01004637,Owned: Owns with a mortgage or loan or shared ownership,130
E01004637,Social rented: Rents from council or Local Authority,127
E01004637,Social rented: Other social rented,5
E01004637,Private rented: Private landlord or letting agency,187
E01004637,Private rented: Other private rented or lives rent free,14
E01004638,Does not apply,0
E01004638,Owned: Owns outright,215
E01004638,Owned: Owns with a mortgage or loan or shared ownership,182
E01004638,Social rented: Rents from council or Local Authority,25
E01004638,Social rented: Other social rented,8
E01004638,Private rented: Private landlord or letting agency,64
E01004638,Private rented: Other private rented or lives rent free,11
E01004639,Does not apply,0
E01004639,Owned: Owns outright,211
E01004639,Owned: Owns with a mortgage or loan or shared ownership,176
E01004639,Social rented: Rents from council or Local Authority,46
E01004639,Social rented: Other social rented,17
E01004639,Private rented: Private landlord or letting agency,269
E01004639,Private rented: Other private rented or lives rent free,49
E01004640,Does not apply,0
E01004640,Owned: Owns outright,209
E01004640,Owned: Owns with a mortgage or loan or shared ownership,249
E01004640,Social rented: Rents from council or Local Authority,8
E01004640,Social rented: Other social rented,39
E01004640,Private rented: Private landlord or letting agency,238
E01004640,Private rented: Other private rented or lives rent free,26
E01004641,Does not apply,0
E01004641,Owned: Owns outright,218
E01004641,Owned: Owns with a mortgage or loan or shared ownership,203
E01004641,Social rented: Rents from council or Local Authority,156
E01004641,Social rented: Other social rented,27
E01004641,Private rented: Private landlord or letting agency,168
E01004641,Private rented: Other private rented or lives rent free,13
E01004642,Does not apply,0
E01004642,Owned: Owns outright,180
E01004642,Owned: Owns with a mortgage or loan or shared ownership,258
E01004642,Social rented: Rents from council or Local Authority,178
E01004642,Social rented: Other social rented,17
E01004642,Private rented: Private landlord or letting agency,181
E01004642,Private rented: Other private rented or lives rent free,13
E01004643,Does not apply,0
E01004643,Owned: Owns outright,157
E01004643,Owned: Owns with a mortgage or loan or shared ownership,243
E01004643,Social rented: Rents from council or Local Authority,266
E01004643,Social rented: Other social rented,32
E01004643,Private rented: Private landlord or letting agency,237
E01004643,Private rented: Other private rented or lives rent free,33
E01004644,Does not apply,0
E01004644,Owned: Owns outright,239
E01004644,Owned: Owns with a mortgage or loan or shared ownership,397
E01004644,Social rented: Rents from council or Local Authority,170
E01004644,Social rented: Other social rented,44
E01004644,Private rented: Private landlord or letting agency,198
E01004644,Private rented: Other private rented or lives rent free,18
E01004645,Does not apply,0
E01004645,Owned: Owns outright,113
E01004645,Owned: Owns with a mortgage or loan or shared ownership,132
E01004645,Social rented: Rents from council or Local Authority,346
E01004645,Social rented: Other social rented,21
E01004645,Private rented: Private landlord or letting agency,192
E01004645,Private rented: Other private rented or lives rent free,12
E01004646,Does not apply,0
E01004646,Owned: Owns outright,202
E01004646,Owned: Owns with a mortgage or loan or shared ownership,117
E01004646,Social rented: Rents from council or Local Authority,78
E01004646,Social rented: Other social rented,40
E01004646,Private rented: Private landlord or letting agency,186
E01004646,Private rented: Other private rented or lives rent free,20
E01004647,Does not apply,0
E01004647,Owned: Owns outright,136
E01004647,Owned: Owns with a mortgage or loan or shared ownership,82
E01004647,Social rented: Rents from council or Local Authority,124
E01004647,Social rented: Other social rented,47
E01004647,Private rented: Private landlord or letting agency,206
E01004647,Private rented: Other private rented or lives rent free,26
E01004648,Does not apply,0
E01004648,Owned: Owns outright,201
E01004648,Owned: Owns with a mortgage or loan or shared ownership,191
E01004648,Social rented: Rents from council or Local Authority,18
E01004648,Social rented: Other social rented,52
E01004648,Private rented: Private landlord or letting agency,520
E01004648,Private rented: Other private rented or lives rent free,48
E01004649,Does not apply,0
E01004649,Owned: Owns outright,198
E01004649,Owned: Owns with a mortgage or loan or shared ownership,81
E01004649,Social rented: Rents from council or Local Authority,24
E01004649,Social rented: Other social rented,12
E01004649,Private rented: Private landlord or letting agency,236
E01004649,Private rented: Other private rented or lives rent free,43
E01004650,Does not apply,0
E01004650,Owned: Owns outright,221
E01004650,Owned: Owns with a mortgage or loan or shared ownership,146
E01004650,Social rented: Rents from council or Local Authority,30
E01004650,Social rented: Other social rented,14
E01004650,Private rented: Private landlord or letting agency,409
E01004650,Private rented: Other private rented or lives rent free,35
E01004651,Does not apply,0
E01004651,Owned: Owns outright,166
E01004651,Owned: Owns with a mortgage or loan or shared ownership,93
E01004651,Social rented: Rents from council or Local Authority,7
E01004651,Social rented: Other social rented,55
E01004651,Private rented: Private landlord or letting agency,634
E01004651,Private rented: Other private rented or lives rent free,57
E01004652,Does not apply,0
E01004652,Owned: Owns outright,106
E01004652,Owned: Owns with a mortgage or loan or shared ownership,93
E01004652,Social rented: Rents from council or Local Authority,59
E01004652,Social rented: Other social rented,29
E01004652,Private rented: Private landlord or letting agency,512
E01004652,Private rented: Other private rented or lives rent free,51
E01004653,Does not apply,0
E01004653,Owned: Owns outright,242
E01004653,Owned: Owns with a mortgage or loan or shared ownership,145
E01004653,Social rented: Rents from council or Local Authority,23
E01004653,Social rented: Other social rented,98
E01004653,Private rented: Private landlord or letting agency,260
E01004653,Private rented: Other private rented or lives rent free,28
E01004654,Does not apply,0
E01004654,Owned: Owns outright,232
E01004654,Owned: Owns with a mortgage or loan or shared ownership,164
E01004654,Social rented: Rents from council or Local Authority,59
E01004654,Social rented: Other social rented,122
E01004654,Private rented: Private landlord or letting agency,572
E01004654,Private rented: Other private rented or lives rent free,48
E01004656,Does not apply,0
E01004656,Owned: Owns outright,171
E01004656,Owned: Owns with a mortgage or loan or shared ownership,149
E01004656,Social rented: Rents from council or Local Authority,135
E01004656,Social rented: Other social rented,143
E01004656,Private rented: Private landlord or letting agency,466
E01004656,Private rented: Other private rented or lives rent free,40
E01004657,Does not apply,0
E01004657,Owned: Owns outright,105
E01004657,Owned: Owns with a mortgage or loan or shared ownership,57
E01004657,Social rented: Rents from council or Local Authority,8
E01004657,Social rented: Other social rented,30
E01004657,Private rented: Private landlord or letting agency,364
E01004657,Private rented: Other private rented or lives rent free,37
E01004658,Does not apply,0
E01004658,Owned: Owns outright,84
E01004658,Owned: Owns with a mortgage or loan or shared ownership,58
E01004658,Social rented: Rents from council or Local Authority,2
E01004658,Social rented: Other social rented,11
E01004658,Private rented: Private landlord or letting agency,582
E01004658,Private rented: Other private rented or lives rent free,35
E01004659,Does not apply,0
E01004659,Owned: Owns outright,169
E01004659,Owned: Owns with a mortgage or loan or shared ownership,92
E01004659,Social rented: Rents from council or Local Authority,40
E01004659,Social rented: Other social rented,18
E01004659,Private rented: Private landlord or letting agency,484
E01004659,Private rented: Other private rented or lives rent free,40
E01004660,Does not apply,0
E01004660,Owned: Owns outright,195
E01004660,Owned: Owns with a mortgage or loan or shared ownership,124
E01004660,Social rented: Rents from council or Local Authority,3
E01004660,Social rented: Other social rented,31
E01004660,Private rented: Private landlord or letting agency,279
E01004660,Private rented: Other private rented or lives rent free,34
E01004661,Does not apply,0
E01004661,Owned: Owns outright,152
E01004661,Owned: Owns with a mortgage or loan or shared ownership,147
E01004661,Social rented: Rents from council or Local Authority,25
E01004661,Social rented: Other social rented,81
E01004661,Private rented: Private landlord or letting agency,412
E01004661,Private rented: Other private rented or lives rent free,35
E01004662,Does not apply,0
E01004662,Owned: Owns outright,136
E01004662,Owned: Owns with a mortgage or loan or shared ownership,65
E01004662,Social rented: Rents from council or Local Authority,7
E01004662,Social rented: Other social rented,49
E01004662,Private rented: Private landlord or letting agency,497
E01004662,Private rented: Other private rented or lives rent free,26
E01004663,Does not apply,0
E01004663,Owned: Owns outright,150
E01004663,Owned: Owns with a mortgage or loan or shared ownership,97
E01004663,Social rented: Rents from council or Local Authority,58
E01004663,Social rented: Other social rented,100
E01004663,Private rented: Private landlord or letting agency,289
E01004663,Private rented: Other private rented or lives rent free,28
E01004665,Does not apply,0
E01004665,Owned: Owns outright,75
E01004665,Owned: Owns with a mortgage or loan or shared ownership,37
E01004665,Social rented: Rents from council or Local Authority,330
E01004665,Social rented: Other social rented,27
E01004665,Private rented: Private landlord or letting agency,85
E01004665,Private rented: Other private rented or lives rent free,25
E01004668,Does not apply,0
E01004668,Owned: Owns outright,114
E01004668,Owned: Owns with a mortgage or loan or shared ownership,82
E01004668,Social rented: Rents from council or Local Authority,180
E01004668,Social rented: Other social rented,25
E01004668,Private rented: Private landlord or letting agency,163
E01004668,Private rented: Other private rented or lives rent free,22
E01004669,Does not apply,0
E01004669,Owned: Owns outright,98
E01004669,Owned: Owns with a mortgage or loan or shared ownership,75
E01004669,Social rented: Rents from council or Local Authority,292
E01004669,Social rented: Other social rented,60
E01004669,Private rented: Private landlord or letting agency,175
E01004669,Private rented: Other private rented or lives rent free,30
E01004670,Does not apply,0
E01004670,Owned: Owns outright,67
E01004670,Owned: Owns with a mortgage or loan or shared ownership,50
E01004670,Social rented: Rents from council or Local Authority,588
E01004670,Social rented: Other social rented,132
E01004670,Private rented: Private landlord or letting agency,64
E01004670,Private rented: Other private rented or lives rent free,27
E01004674,Does not apply,0
E01004674,Owned: Owns outright,69
E01004674,Owned: Owns with a mortgage or loan or shared ownership,95
E01004674,Social rented: Rents from council or Local Authority,192
E01004674,Social rented: Other social rented,281
E01004674,Private rented: Private landlord or letting agency,106
E01004674,Private rented: Other private rented or lives rent free,25
E01004675,Does not apply,0
E01004675,Owned: Owns outright,70
E01004675,Owned: Owns with a mortgage or loan or shared ownership,114
E01004675,Social rented: Rents from council or Local Authority,102
E01004675,Social rented: Other social rented,448
E01004675,Private rented: Private landlord or letting agency,313
E01004675,Private rented: Other private rented or lives rent free,26
E01004676,Does not apply,0
E01004676,Owned: Owns outright,71
E01004676,Owned: Owns with a mortgage or loan or shared ownership,127
E01004676,Social rented: Rents from council or Local Authority,41
E01004676,Social rented: Other social rented,141
E01004676,Private rented: Private landlord or letting agency,320
E01004676,Private rented: Other private rented or lives rent free,13
E01004677,Does not apply,0
E01004677,Owned: Owns outright,69
E01004677,Owned: Owns with a mortgage or loan or shared ownership,142
E01004677,Social rented: Rents from council or Local Authority,44
E01004677,Social rented: Other social rented,256
E01004677,Private rented: Private landlord or letting agency,266
E01004677,Private rented: Other private rented or lives rent free,24
E01004678,Does not apply,0
E01004678,Owned: Owns outright,99
E01004678,Owned: Owns with a mortgage or loan or shared ownership,134
E01004678,Social rented: Rents from council or Local Authority,77
E01004678,Social rented: Other social rented,272
E01004678,Private rented: Private landlord or letting agency,232
E01004678,Private rented: Other private rented or lives rent free,21
E01004679,Does not apply,0
E01004679,Owned: Owns outright,62
E01004679,Owned: Owns with a mortgage or loan or shared ownership,100
E01004679,Social rented: Rents from council or Local Authority,68
E01004679,Social rented: Other social rented,419
E01004679,Private rented: Private landlord or letting agency,251
E01004679,Private rented: Other private rented or lives rent free,18
E01004680,Does not apply,0
E01004680,Owned: Owns outright,161
E01004680,Owned: Owns with a mortgage or loan or shared ownership,84
E01004680,Social rented: Rents from council or Local Authority,3
E01004680,Social rented: Other social rented,16
E01004680,Private rented: Private landlord or letting agency,259
E01004680,Private rented: Other private rented or lives rent free,45
E01004681,Does not apply,0
E01004681,Owned: Owns outright,154
E01004681,Owned: Owns with a mortgage or loan or shared ownership,150
E01004681,Social rented: Rents from council or Local Authority,75
E01004681,Social rented: Other social rented,33
E01004681,Private rented: Private landlord or letting agency,473
E01004681,Private rented: Other private rented or lives rent free,32
E01004682,Does not apply,0
E01004682,Owned: Owns outright,95
E01004682,Owned: Owns with a mortgage or loan or shared ownership,69
E01004682,Social rented: Rents from council or Local Authority,11
