Lower layer Super Output Areas Code,Country of birth (UK) (3 categories),Observation
E01000162,Born outside the UK,643
E01000163,Does not apply,0
E01000163,Born in the UK,923
E01000163,Born outside the UK,770
E01000164,Does not apply,0
E01000164,Born in the UK,1012
E01000164,Born outside the UK,700
E01000165,Does not apply,0
E01000165,Born in the UK,941
E01000165,Born outside the UK,871
E01000166,Does not apply,0
E01000166,Born in the UK,1149
E01000166,Born outside the UK,471
E01000167,Does not apply,0
E01000167,Born in the UK,1044
E01000167,Born outside the UK,347
E01000168,Does not apply,0
E01000168,Born in the UK,1053
E01000168,Born outside the UK,463
E01000169,Does not apply,0
E01000169,Born in the UK,1193
E01000169,Born outside the UK,438
E01000170,Does not apply,0
E01000170,Born in the UK,1332
E01000170,Born outside the UK,575
E01000171,Does not apply,0
E01000171,Born in the UK,1307
E01000171,Born outside the UK,983
E01000172,Does not apply,0
E01000172,Born in the UK,1249
E01000172,Born outside the UK,440
E01000173,Does not apply,0
E01000173,Born in the UK,1241
E01000173,Born outside the UK,449
E01000174,Does not apply,0
E01000174,Born in the UK,1184
E01000174,Born outside the UK,575
E01000175,Does not apply,0
E01000175,Born in the UK,1354
E01000175,Born outside the UK,677
E01000176,Does not apply,0
E01000176,Born in the UK,1186
E01000176,Born outside the UK,536
E01000177,Does not apply,0
E01000177,Born in the UK,1130
E01000177,Born outside the UK,533
E01000178,Does not apply,0
E01000178,Born in the UK,1122
E01000178,Born outside the UK,551
E01000179,Does not apply,0
E01000179,Born in the UK,1087
E01000179,Born outside the UK,702
E01000180,Does not apply,0
E01000180,Born in the UK,923
E01000180,Born outside the UK,693
E01000181,Does not apply,0
E01000181,Born in the UK,1051
E01000181,Born outside the UK,637
E01000182,Does not apply,0
E01000182,Born in the UK,1019
E01000182,Born outside the UK,600
E01000183,Does not apply,0
E01000183,Born in the UK,914
E01000183,Born outside the UK,608
E01000184,Does not apply,0
E01000184,Born in the UK,1043
E01000184,Born outside the UK,827
E01000185,Does not apply,0
E01000185,Born in the UK,776
E01000185,Born outside the UK,698
E01000186,Does not apply,0
E01000186,Born in the UK,1190
E01000186,Born outside the UK,581
E01000187,Does not apply,0
E01000187,Born in the UK,1129
E01000187,Born outside the UK,608
E01000188,Does not apply,0
E01000188,Born in the UK,1048
E01000188,Born outside the UK,530
E01000189,Does not apply,0
E01000189,Born in the UK,1316
E01000189,Born outside the UK,1153
E01000190,Does not apply,0
E01000190,Born in the UK,1153
E01000190,Born outside the UK,578
E01000191,Does not apply,0
E01000191,Born in the UK,992
E01000191,Born outside the UK,557
E01000192,Does not apply,0
E01000192,Born in the UK,1124
E01000192,Born outside the UK,873
E01000193,Does not apply,0
E01000193,Born in the UK,946
E01000193,Born outside the UK,1002
E01000194,Does not apply,0
E01000194,Born in the UK,868
E01000194,Born outside the UK,1038
E01000195,Does not apply,0
E01000195,Born in the UK,1092
E01000195,Born outside the UK,927
E01000196,Does not apply,0
E01000196,Born in the UK,894
E01000196,Born outside the UK,1230
E01000197,Does not apply,0
E01000197,Born in the UK,1006
E01000197,Born outside the UK,845
E01000198,Does not apply,0
E01000198,Born in the UK,1367
E01000198,Born outside the UK,826
E01000199,Does not apply,0
E01000199,Born in the UK,1051
E01000199,Born outside the UK,529
E01000200,Does not apply,0
E01000200,Born in the UK,1210
E01000200,Born outside the UK,768
E01000201,Does not apply,0
E01000201,Born in the UK,930
E01000201,Born outside the UK,608
E01000202,Does not apply,0
E01000202,Born in the UK,1010
E01000202,Born outside the UK,663
E01000203,Does not apply,0
E01000203,Born in the UK,1008
E01000203,Born outside the UK,836
E01000204,Does not apply,0
E01000204,Born in the UK,1068
E01000204,Born outside the UK,633
E01000205,Does not apply,0
E01000205,Born in the UK,1022
E01000205,Born outside the UK,484
E01000206,Does not apply,0
E01000206,Born in the UK,855
E01000206,Born outside the UK,647
E01000207,Does not apply,0
E01000207,Born in the UK,1020
E01000207,Born outside the UK,559
E01000208,Does not apply,0
E01000208,Born in the UK,960
E01000208,Born outside the UK,669
E01000209,Does not apply,0
E01000209,Born in the UK,1053
E01000209,Born outside the UK,428
E01000210,Does not apply,0
E01000210,Born in the UK,1002
E01000210,Born outside the UK,546
E01000211,Does not apply,0
E01000211,Born in the UK,893
E01000211,Born outside the UK,1235
E01000212,Does not apply,0
E01000212,Born in the UK,761
E01000212,Born outside the UK,585
E01000213,Does not apply,0
E01000213,Born in the UK,967
E01000213,Born outside the UK,384
E01000214,Does not apply,0
E01000214,Born in the UK,879
E01000214,Born outside the UK,748
E01000215,Does not apply,0
E01000215,Born in the UK,1329
E01000215,Born outside the UK,816
E01000216,Does not apply,0
E01000216,Born in the UK,1061
E01000216,Born outside the UK,916
E01000217,Does not apply,0
E01000217,Born in the UK,1090
E01000217,Born outside the UK,695
E01000218,Does not apply,0
E01000218,Born in the UK,1088
E01000218,Born outside the UK,756
E01000219,Does not apply,0
E01000219,Born in the UK,1166
E01000219,Born outside the UK,1029
E01000220,Does not apply,0
E01000220,Born in the UK,1040
E01000220,Born outside the UK,848
E01000221,Does not apply,0
E01000221,Born in the UK,757
E01000221,Born outside the UK,655
E01000222,Does not apply,0
E01000222,Born in the UK,878
E01000222,Born outside the UK,1160
E01000223,Does not apply,0
E01000223,Born in the UK,967
E01000223,Born outside the UK,1065
E01000224,Does not apply,0
E01000224,Born in the UK,665
E01000224,Born outside the UK,1027
E01000225,Does not apply,0
E01000225,Born in the UK,1303
E01000225,Born outside the UK,565
E01000226,Does not apply,0
E01000226,Born in the UK,917
E01000226,Born outside the UK,818
E01000227,Does not apply,0
E01000227,Born in the UK,1092
E01000227,Born outside the UK,777
E01000228,Does not apply,0
E01000228,Born in the UK,950
E01000228,Born outside the UK,485
E01000229,Does not apply,0
E01000229,Born in the UK,992
E01000229,Born outside the UK,678
E01000230,Does not apply,0
E01000230,Born in the UK,1331
E01000230,Born outside the UK,628
E01000231,Does not apply,0
E01000231,Born in the UK,946
E01000231,Born outside the UK,841
E01000232,Does not apply,0
E01000232,Born in the UK,1146
E01000232,Born outside the UK,725
E01000233,Does not apply,0
E01000233,Born in the UK,1163
E01000233,Born outside the UK,775
E01000234,Does not apply,0
E01000234,Born in the UK,1148
E01000234,Born outside the UK,633
E01000235,Does not apply,0
E01000235,Born in the UK,1030
E01000235,Born outside the UK,832
E01000236,Does not apply,0
E01000236,Born in the UK,1212
E01000236,Born outside the UK,740
E01000237,Does not apply,0
E01000237,Born in the UK,981
E01000237,Born outside the UK,1118
E01000238,Does not apply,0
E01000238,Born in the UK,1253
E01000238,Born outside the UK,846
E01000239,Does not apply,0
E01000239,Born in the UK,859
E01000239,Born outside the UK,1199
E01000240,Does not apply,0
E01000240,Born in the UK,836
E01000240,Born outside the UK,898
E01000241,Does not apply,0
E01000241,Born in the UK,949
E01000241,Born outside the UK,839
E01000242,Does not apply,0
E01000242,Born in the UK,1045
E01000242,Born outside the UK,556
E01000243,Does not apply,0
E01000243,Born in the UK,999
E01000243,Born outside the UK,1164
E01000244,Does not apply,0
E01000244,Born in the UK,701
E01000244,Born outside the UK,937
E01000245,Does not apply,0
E01000245,Born in the UK,916
E01000245,Born outside the UK,1143
E01000246,Does not apply,0
E01000246,Born in the UK,1143
E01000246,Born outside the UK,376
E01000247,Does not apply,0
E01000247,Born in the UK,1254
E01000247,Born outside the UK,442
E01000248,Does not apply,0
E01000248,Born in the UK,1292
E01000248,Born outside the UK,411
E01000249,Does not apply,0
E01000249,Born in the UK,1282
E01000249,Born outside the UK,331
E01000250,Does not apply,0
E01000250,Born in the UK,1650
E01000250,Born outside the UK,963
E01000251,Does not apply,0
E01000251,Born in the UK,1491
E01000251,Born outside the UK,771
E01000252,Does not apply,0
E01000252,Born in the UK,1171
E01000252,Born outside the UK,544
E01000253,Does not apply,0
E01000253,Born in the UK,1419
E01000253,Born outside the UK,562
E01000254,Does not apply,0
E01000254,Born in the UK,1281
E01000254,Born outside the UK,319
E01000255,Does not apply,0
E01000255,Born in the UK,1094
E01000255,Born outside the UK,606
E01000256,Does not apply,0
E01000256,Born in the UK,1214
E01000256,Born outside the UK,714
E01000257,Does not apply,0
E01000257,Born in the UK,1205
E01000257,Born outside the UK,885
E01000258,Does not apply,0
E01000258,Born in the UK,1249
E01000258,Born outside the UK,643
E01000259,Does not apply,0
E01000259,Born in the UK,1488
E01000259,Born outside the UK,1155
E01000260,Does not apply,0
E01000260,Born in the UK,1108
E01000260,Born outside the UK,1058
E01000261,Does not apply,0
E01000261,Born in the UK,1270
E01000261,Born outside the UK,497
E01000263,Does not apply,0
E01000263,Born in the UK,1217
E01000263,Born outside the UK,309
E01000264,Does not apply,0
E01000264,Born in the UK,985
E01000264,Born outside the UK,837
E01000265,Does not apply,0
E01000265,Born in the UK,1127
E01000265,Born outside the UK,795
E01000266,Does not apply,0
E01000266,Born in the UK,1062
E01000266,Born outside the UK,375
E01000267,Does not apply,0
E01000267,Born in the UK,1053
E01000267,Born outside the UK,474
E01000268,Does not apply,0
E01000268,Born in the UK,1208
E01000268,Born outside the UK,867
