Lower layer Super Output Areas Code,Age (6 categories),Observation
E01000081,Aged 65 years and over,167
E01000082,Aged 15 years and under,471
E01000082,Aged 16 to 24 years,199
E01000082,Aged 25 to 34 years,233
E01000082,Aged 35 to 49 years,488
E01000082,Aged 50 to 64 years,354
E01000082,Aged 65 years and over,169
E01000083,Aged 15 years and under,537
E01000083,Aged 16 to 24 years,200
E01000083,Aged 25 to 34 years,238
E01000083,Aged 35 to 49 years,462
E01000083,Aged 50 to 64 years,313
E01000083,Aged 65 years and over,170
E01000084,Aged 15 years and under,352
E01000084,Aged 16 to 24 years,145
E01000084,Aged 25 to 34 years,195
E01000084,Aged 35 to 49 years,328
E01000084,Aged 50 to 64 years,268
E01000084,Aged 65 years and over,148
E01000085,Aged 15 years and under,404
E01000085,Aged 16 to 24 years,208
E01000085,Aged 25 to 34 years,231
E01000085,Aged 35 to 49 years,396
E01000085,Aged 50 to 64 years,234
E01000085,Aged 65 years and over,173
E01000086,Aged 15 years and under,358
E01000086,Aged 16 to 24 years,174
E01000086,Aged 25 to 34 years,199
E01000086,Aged 35 to 49 years,321
E01000086,Aged 50 to 64 years,243
E01000086,Aged 65 years and over,155
E01000087,Aged 15 years and under,413
E01000087,Aged 16 to 24 years,209
E01000087,Aged 25 to 34 years,252
E01000087,Aged 35 to 49 years,358
E01000087,Aged 50 to 64 years,265
E01000087,Aged 65 years and over,139
E01000088,Aged 15 years and under,539
E01000088,Aged 16 to 24 years,223
E01000088,Aged 25 to 34 years,237
E01000088,Aged 35 to 49 years,439
E01000088,Aged 50 to 64 years,305
E01000088,Aged 65 years and over,232
E01000089,Aged 15 years and under,546
E01000089,Aged 16 to 24 years,199
E01000089,Aged 25 to 34 years,219
E01000089,Aged 35 to 49 years,418
E01000089,Aged 50 to 64 years,292
E01000089,Aged 65 years and over,150
E01000090,Aged 15 years and under,485
E01000090,Aged 16 to 24 years,206
E01000090,Aged 25 to 34 years,207
E01000090,Aged 35 to 49 years,390
E01000090,Aged 50 to 64 years,272
E01000090,Aged 65 years and over,148
E01000091,Aged 15 years and under,616
E01000091,Aged 16 to 24 years,267
E01000091,Aged 25 to 34 years,281
E01000091,Aged 35 to 49 years,465
E01000091,Aged 50 to 64 years,331
E01000091,Aged 65 years and over,131
E01000093,Aged 15 years and under,480
E01000093,Aged 16 to 24 years,211
E01000093,Aged 25 to 34 years,283
E01000093,Aged 35 to 49 years,448
E01000093,Aged 50 to 64 years,267
E01000093,Aged 65 years and over,117
E01000094,Aged 15 years and under,763
E01000094,Aged 16 to 24 years,265
E01000094,Aged 25 to 34 years,454
E01000094,Aged 35 to 49 years,624
E01000094,Aged 50 to 64 years,298
E01000094,Aged 65 years and over,57
E01000095,Aged 15 years and under,740
E01000095,Aged 16 to 24 years,208
E01000095,Aged 25 to 34 years,414
E01000095,Aged 35 to 49 years,467
E01000095,Aged 50 to 64 years,289
E01000095,Aged 65 years and over,132
E01000096,Aged 15 years and under,553
E01000096,Aged 16 to 24 years,247
E01000096,Aged 25 to 34 years,189
E01000096,Aged 35 to 49 years,380
E01000096,Aged 50 to 64 years,205
E01000096,Aged 65 years and over,87
E01000097,Aged 15 years and under,482
E01000097,Aged 16 to 24 years,217
E01000097,Aged 25 to 34 years,267
E01000097,Aged 35 to 49 years,444
E01000097,Aged 50 to 64 years,307
E01000097,Aged 65 years and over,215
E01000098,Aged 15 years and under,535
E01000098,Aged 16 to 24 years,223
E01000098,Aged 25 to 34 years,233
E01000098,Aged 35 to 49 years,469
E01000098,Aged 50 to 64 years,308
E01000098,Aged 65 years and over,168
E01000099,Aged 15 years and under,757
E01000099,Aged 16 to 24 years,306
E01000099,Aged 25 to 34 years,438
E01000099,Aged 35 to 49 years,715
E01000099,Aged 50 to 64 years,398
E01000099,Aged 65 years and over,164
E01000100,Aged 15 years and under,531
E01000100,Aged 16 to 24 years,234
E01000100,Aged 25 to 34 years,249
E01000100,Aged 35 to 49 years,436
E01000100,Aged 50 to 64 years,330
E01000100,Aged 65 years and over,162
E01000101,Aged 15 years and under,403
E01000101,Aged 16 to 24 years,199
E01000101,Aged 25 to 34 years,238
E01000101,Aged 35 to 49 years,380
E01000101,Aged 50 to 64 years,305
E01000101,Aged 65 years and over,174
E01000102,Aged 15 years and under,488
E01000102,Aged 16 to 24 years,189
E01000102,Aged 25 to 34 years,226
E01000102,Aged 35 to 49 years,430
E01000102,Aged 50 to 64 years,279
E01000102,Aged 65 years and over,172
E01000103,Aged 15 years and under,456
E01000103,Aged 16 to 24 years,233
E01000103,Aged 25 to 34 years,276
E01000103,Aged 35 to 49 years,364
E01000103,Aged 50 to 64 years,306
E01000103,Aged 65 years and over,141
E01000104,Aged 15 years and under,527
E01000104,Aged 16 to 24 years,212
E01000104,Aged 25 to 34 years,306
E01000104,Aged 35 to 49 years,392
E01000104,Aged 50 to 64 years,332
E01000104,Aged 65 years and over,149
E01000105,Aged 15 years and under,587
E01000105,Aged 16 to 24 years,220
E01000105,Aged 25 to 34 years,340
E01000105,Aged 35 to 49 years,592
E01000105,Aged 50 to 64 years,367
E01000105,Aged 65 years and over,228
E01000106,Aged 15 years and under,630
E01000106,Aged 16 to 24 years,214
E01000106,Aged 25 to 34 years,359
E01000106,Aged 35 to 49 years,452
E01000106,Aged 50 to 64 years,343
E01000106,Aged 65 years and over,209
E01000107,Aged 15 years and under,416
E01000107,Aged 16 to 24 years,202
E01000107,Aged 25 to 34 years,228
E01000107,Aged 35 to 49 years,372
E01000107,Aged 50 to 64 years,291
E01000107,Aged 65 years and over,277
